fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st,E,N,cl,osm_near
13795,CRT Seasonal,56.5,23.2,56.4654,23.158477,CRT Seasonal,Residential,0.0,EXisting,445276.9907992131,2561163.7017402,-1,
13804,CRT Seasonal,56.5,23.2,56.46918,23.162329,CRT Seasonal,Industrial,7.0,EXisting,445665.4827938808,2561588.723531206,-1,
13966,CRT Seasonal,56.5,23.2,56.492231,23.22095,CRT Seasonal,Residential,0.0,EXisting,448047.6672655981,2568069.9738807706,149,
13969,CRT Seasonal,56.5,23.2,56.492231,23.22095,CRT Seasonal,Residential,0.0,EXisting,448047.6672655981,2568069.9738807706,149,
13970,CRT Seasonal,56.5,23.2,56.492231,23.22095,CRT Seasonal,Residential,0.0,EXisting,448047.6672655981,2568069.9738807706,149,
14007,CRT Seasonal,56.5,23.2,56.492231,23.22095,CRT Seasonal,Residential,0.0,EXisting,448047.6672655981,2568069.9738807706,149,
14011,CRT Seasonal,56.5,23.2,56.492231,23.22095,CRT Seasonal,Residential,0.0,EXisting,448047.6672655981,2568069.9738807706,149,
14072,CRT Seasonal,56.7,23.3,56.738873,23.26494,CRT Seasonal,Residential,0.0,EXisting,473291.7551956321,2572873.0764219365,-1,? [amenity=place_of_worship;building=yes] 15m | ? [amenity=place_of_worship] 15m
14181,CRT Seasonal,56.5,23.2,56.498586,23.234862,Commercial,Residential,99.0,EXisting,448703.205848364,2569607.85580311,153,
14272,CRT Seasonal,56.5,23.2,56.471102,23.169561,CRT Seasonal,Residential,0.0,EXisting,445865.1293067726,2562388.628715291,33,
14275,CRT Seasonal,56.5,23.2,56.471102,23.169561,CRT Seasonal,Residential,0.0,EXisting,445865.1293067726,2562388.628715291,33,
14276,CRT Seasonal,56.5,23.2,56.471102,23.169561,CRT Seasonal,Residential,0.0,EXisting,445865.1293067726,2562388.628715291,33,
14279,CRT Seasonal,56.5,23.2,56.471102,23.169561,CRT Seasonal,Residential,0.0,EXisting,445865.1293067726,2562388.628715291,33,
14283,CRT Seasonal,56.5,23.2,56.471102,23.169561,CRT Seasonal,Residential,0.0,EXisting,445865.1293067726,2562388.628715291,33,
14722,CRT Time of Use,56.5,23.2,56.464283,23.160194,CRT Time of Use,Industrial,7.0,EXisting,445163.3485361355,2561354.2027779818,35,
14842,CRT Seasonal,56.4,23.2,56.413027,23.249698,CRT Seasonal,Residential-Commercial,2.0,EXisting,439956.59797827614,2571283.105973553,-1,? [amenity=restaurant] 16m | Oman Oil [amenity=fuel;building=yes] 19m
