PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P01530,C02,secondary main sewer,lateral,200,92.9,0.5,0.371,0.271,0.889,6.9,below Mara's slope
P01532,C02,secondary header,sub main,200,103.9,0.5,0.757,0.339,0.64,20.0,below Mara's slope
P01533,C02,secondary header,sub main,200,109.5,0.5,0.687,0.329,0.669,17.3,below Mara's slope
P01534,C02,secondary main sewer,lateral,200,78.6,0.5,0.397,0.277,0.862,7.4,below Mara's slope
P01535,C02,secondary main sewer,lateral,200,161.0,0.5,0.522,0.302,0.759,11.4,below Mara's slope
P01536,C02,secondary main sewer,lateral,200,57.5,0.5,0.409,0.279,0.85,7.8,below Mara's slope
P01537,C02,secondary main sewer,lateral,200,43.1,0.5,0.397,0.277,0.861,7.5,below Mara's slope
P01539,C02,secondary main sewer,lateral,200,176.5,0.5,0.361,0.268,0.901,6.6,below Mara's slope
P01540,C01,secondary main sewer,lateral,200,45.0,0.5,0.24,0.235,1.087,3.4,below Mara's slope
P01541,C01,secondary header,sub main,200,293.1,0.65,0.246,0.26,1.074,3.3,below Mara's slope
P01543,C02,secondary main sewer,lateral,200,77.4,0.5,0.227,0.231,1.115,3.1,below Mara's slope
P01544,C01,secondary header,sub main,200,89.7,0.5,0.755,0.339,0.641,18.4,below Mara's slope
P01545,C01,secondary header,sub main,200,159.5,0.5,0.748,0.338,0.643,18.2,below Mara's slope
P01546,C01,secondary header,sub main,200,84.6,0.5,0.49,0.296,0.782,9.6,below Mara's slope
P01547,C01,secondary header,sub main,200,82.4,0.5,0.57,0.31,0.729,11.9,below Mara's slope
P01550,C06,secondary main sewer,lateral,200,102.4,0.5,0.048,0.138,2.28,0.3,below Mara's slope
P01551,C06,secondary main sewer,lateral,200,39.0,0.5,0.048,0.138,2.28,0.3,below Mara's slope
P01552,C02,secondary main sewer,lateral,200,192.7,0.5,0.338,0.263,0.928,5.8,below Mara's slope
P01553,C02,secondary main sewer,lateral,200,35.0,0.5,0.18,0.214,1.241,2.1,below Mara's slope
P01554,C02,secondary main sewer,lateral,200,35.0,0.5,0.149,0.201,1.353,1.5,below Mara's slope
P01555,C02,secondary main sewer,lateral,200,93.8,0.5,0.531,0.303,0.754,11.0,below Mara's slope
P01557,C02,secondary main sewer,lateral,200,132.8,0.5,0.58,0.312,0.724,12.7,below Mara's slope
P01558,C01,secondary main sewer,lateral,200,52.6,0.5,0.888,0.357,0.594,23.9,below Mara's slope
P01559,C01,secondary main sewer,lateral,200,57.4,0.5,0.891,0.357,0.594,23.9,below Mara's slope
P01560,C01,secondary header,sub main,200,65.9,1.3,0.106,0.249,1.586,0.8,below Mara's slope
P01561,C01,secondary main sewer,lateral,200,88.4,0.5,0.137,0.196,1.408,1.2,below Mara's slope
P01562,C01,secondary main sewer,lateral,200,47.9,0.5,0.091,0.171,1.701,0.5,below Mara's slope
P01563,C01,secondary header,sub main,200,93.4,0.5,0.183,0.216,1.231,1.9,below Mara's slope
P01564,C01,secondary header,sub main,200,147.8,0.7,0.145,0.224,1.372,1.2,below Mara's slope
P01565,C01,secondary main sewer,lateral,200,74.4,0.5,0.045,0.135,2.353,0.2,below Mara's slope
P01567,C02,secondary main sewer,lateral,200,78.8,0.5,0.192,0.219,1.204,2.4,below Mara's slope
P01569,C06,secondary main sewer,lateral,200,94.9,0.6,0.06,0.158,2.062,0.4,below Mara's slope
P01570,C02,secondary header,sub main,200,82.2,0.5,0.362,0.269,0.899,6.4,below Mara's slope
P01571,C02,secondary main sewer,lateral,200,83.0,0.5,0.466,0.291,0.8,9.5,below Mara's slope
P01572,C02,secondary main sewer,lateral,200,43.6,0.5,0.79,0.344,0.627,21.2,below Mara's slope
P01573,C01,secondary header,sub main,200,64.7,0.5,0.314,0.257,0.96,5.3,below Mara's slope
P01574,C01,secondary header,sub main,200,124.5,0.5,0.305,0.254,0.973,5.1,below Mara's slope
P01575,C02,secondary main sewer,lateral,200,182.6,0.5,0.0,0.0,,0.0,no flow in 2030
P01576,C02,secondary main sewer,lateral,200,174.1,0.5,0.0,0.0,,0.0,no flow in 2030
P01577,C01,secondary main sewer,lateral,200,24.0,0.5,0.033,0.122,2.695,0.1,below Mara's slope
P01578,C32,secondary main sewer,lateral,200,140.1,0.5,0.0,0.0,,0.0,no flow in 2030
P01580,C02,secondary main sewer,lateral,200,82.5,0.5,0.515,0.301,0.764,10.6,below Mara's slope
P01581,C02,secondary main sewer,lateral,200,38.8,0.5,0.493,0.297,0.779,9.9,below Mara's slope
P01582,C02,secondary main sewer,lateral,200,92.7,0.5,0.348,0.265,0.916,5.8,below Mara's slope
P01583,C02,secondary main sewer,lateral,200,46.2,0.5,0.463,0.291,0.803,9.8,below Mara's slope
P01584,C06,secondary main sewer,lateral,200,78.8,1.45,0.079,0.234,1.815,0.8,below Mara's slope
P01585,C01,secondary header,sub main,200,82.0,0.55,0.18,0.222,1.239,2.2,below Mara's slope
P01586,C01,secondary main sewer,lateral,200,82.9,0.5,0.952,0.364,0.576,26.4,below Mara's slope
P01587,C01,secondary main sewer,lateral,200,77.2,0.9,0.15,0.247,1.35,1.5,below Mara's slope
P01588,C01,secondary main sewer,lateral,200,54.8,1.5,0.073,0.231,1.882,0.6,below Mara's slope
P01589,C01,secondary main sewer,lateral,200,34.9,0.5,0.075,0.16,1.853,0.6,below Mara's slope
P01591,C02,secondary main sewer,lateral,200,88.1,0.5,0.846,0.351,0.608,23.3,below Mara's slope
P01592,C02,secondary main sewer,lateral,200,83.1,0.5,0.358,0.268,0.904,6.5,below Mara's slope
P01594,C02,secondary main sewer,lateral,200,189.5,0.5,0.25,0.238,1.067,3.4,below Mara's slope
P01596,C06,secondary main sewer,lateral,200,34.1,0.5,0.069,0.155,1.935,0.6,below Mara's slope
P01598,C02,secondary main sewer,lateral,200,58.9,0.5,0.867,0.354,0.601,24.0,below Mara's slope
P01600,C01,secondary main sewer,lateral,200,90.9,0.5,0.137,0.196,1.407,1.8,below Mara's slope
P01601,C01,secondary header,sub main,200,279.8,0.5,0.24,0.235,1.087,3.7,below Mara's slope
P01602,C01,secondary main sewer,lateral,200,102.0,1.45,0.071,0.226,1.905,0.5,below Mara's slope
P01603,C01,secondary main sewer,lateral,200,74.8,0.5,0.311,0.256,0.964,5.2,below Mara's slope
P01604,C01,secondary header,sub main,200,89.1,0.5,0.266,0.243,1.036,4.0,below Mara's slope
P01605,C01,secondary header,sub main,200,89.4,0.5,0.366,0.27,0.894,6.5,below Mara's slope
P01606,C01,secondary header,sub main,200,180.0,0.5,0.554,0.308,0.739,12.2,below Mara's slope
P01607,C01,secondary main sewer,lateral,200,89.3,0.5,1.005,0.371,0.561,28.5,below Mara's slope
P01608,C02,secondary main sewer,lateral,200,233.5,0.5,0.386,0.274,0.873,7.4,below Mara's slope
P01609,C02,secondary main sewer,lateral,200,73.2,0.5,0.103,0.178,1.602,0.5,below Mara's slope
P01612,C07,secondary header,sub main,200,83.4,0.6,0.2,0.236,1.182,2.5,below Mara's slope
P01613,C02,secondary main sewer,lateral,200,84.7,0.5,0.91,0.359,0.588,25.7,below Mara's slope
