fid,NDVI_MEAN,NDVI_SHARE,GREEN_M2,NDVI_PX
403,0.121,0.0,0.0,13
404,0.106,0.0,0.0,14
405,0.11,0.0,0.0,14
406,0.109,0.0,0.0,12
407,0.113,0.0,0.0,13
408,0.12,0.0,0.0,14
409,0.107,0.0,0.0,12
410,0.108,0.0,0.0,11
411,0.11,0.0,0.0,12
412,0.106,0.0,0.0,11
413,0.117,0.0,0.0,12
414,0.112,0.0,0.0,12
415,0.109,0.0,0.0,12
416,0.099,0.0,0.0,12
417,0.104,0.0,0.0,13
418,0.115,0.0,0.0,13
419,0.121,0.0,0.0,13
420,0.107,0.0,0.0,13
421,0.112,0.0,0.0,12
422,0.107,0.0,0.0,13
423,0.107,0.0,0.0,13
424,0.112,0.0,0.0,14
425,0.1,0.0,0.0,13
426,0.102,0.0,0.0,14
427,0.115,0.0,0.0,12
428,0.122,0.0,0.0,14
429,0.108,0.0,0.0,14
430,0.103,0.0,0.0,13
431,0.106,0.0,0.0,15
432,0.11,0.0,0.0,14
433,0.113,0.0,0.0,14
434,0.098,0.0,0.0,12
435,0.099,0.0,0.0,11
436,0.103,0.0,0.0,12
437,0.097,0.0,0.0,13
438,0.098,0.0,0.0,13
439,0.113,0.0,0.0,12
440,0.123,0.0,0.0,12
441,0.116,0.0,0.0,12
442,0.105,0.0,0.0,11
443,0.076,0.0,0.0,12
444,0.077,0.0,0.0,12
445,0.072,0.0,0.0,12
446,0.087,0.0,0.0,12
447,0.092,0.0,0.0,12
448,0.12,0.0,0.0,31
449,0.132,0.0,0.0,2
450,0.146,0.0,0.0,49
451,0.13,0.0,0.0,30
452,0.11,0.0,0.0,9
453,0.104,0.0,0.0,2
454,0.063,0.0,0.0,31
455,0.114,0.0,0.0,45
456,0.101,0.0,0.0,13
457,0.096,0.0,0.0,12
458,0.07,0.0,0.0,13
459,0.088,0.0,0.0,14
460,0.074,0.0,0.0,13
461,0.11,0.0,0.0,12
462,0.071,0.0,0.0,12
463,0.128,0.0,0.0,18
464,0.123,0.0,0.0,32
465,0.116,0.0,0.0,104
466,0.13,0.0,0.0,15
467,0.068,0.0,0.0,19
468,0.104,0.0,0.0,25
469,0.099,0.0,0.0,62
470,0.099,0.0,0.0,75
471,0.135,0.0,0.0,10
472,0.035,0.0,0.0,21
473,0.064,0.0,0.0,7
474,0.079,0.0,0.0,272
475,0.072,0.0,0.0,5
476,0.064,0.0,0.0,10
477,0.098,0.0,0.0,10
478,0.101,0.0,0.0,5
479,0.073,0.0,0.0,178
480,0.095,0.0,0.0,18
481,0.126,0.0,0.0,17
482,0.152,0.056,47.0,18
483,0.111,0.0,0.0,18
484,0.092,0.0,0.0,19
485,0.094,0.0,0.0,19
486,0.09,0.0,0.0,18
487,0.09,0.0,0.0,17
488,0.106,0.0,0.0,18
489,0.109,0.0,0.0,18
490,0.112,0.0,0.0,19
491,0.097,0.0,0.0,18
492,0.101,0.0,0.0,17
493,0.103,0.0,0.0,18
494,0.1,0.0,0.0,19
495,0.156,0.051,269.0,78
496,0.093,0.0,0.0,18
497,0.112,0.0,0.0,18
498,0.122,0.0,0.0,23
499,0.078,0.0,0.0,279
500,0.09,0.0,0.0,793
501,0.03,0.0,0.0,13
502,0.009,0.0,0.0,15
503,0.023,0.0,0.0,13
504,0.074,0.0,0.0,15
505,0.095,0.0,0.0,396
506,0.098,0.0,0.0,480
507,0.095,0.0,0.0,54
508,0.05,0.0,0.0,14
