NODE,SUBNET,WAS_M,DIVERT_AT,DIVERT_DOWN_M,TO_NODE,TO_SUBNET,EXTRA_M,DEF_M,RESCUED
N002780,S011,13.25,N001615,2267.5,N001264,S004,586.3,11.9,0
N007892,S006,13.25,N007488,3173.0,N007474,S170,75.7,12.53,0
N008835,S012,13.25,N008125,3504.0,N008145,S104,63.1,13.47,0
N008848,S012,13.24,N008125,3868.1,N008145,S104,63.1,13.46,0
N008202,S012,13.23,N008125,1860.0,N008145,S104,63.1,13.45,0
N008829,S012,13.23,N008125,3558.8,N008145,S104,63.1,13.45,0
X000096,S014,13.21,N007524,1693.3,N007564,S006,102.0,14.72,0
N001230,S016,13.2,N001230,0.0,N001280,S007,192.2,11.43,0
N006456,S001,13.2,N005298,6663.5,N004766,S002,1536.5,14.07,0
N001481,S021,13.19,N001886,1360.5,N001826,S040,222.7,13.25,0
N001406,S021,13.18,N001886,1384.4,N001826,S040,222.7,13.23,0
N007366,S006,13.18,N007488,1376.0,N007474,S170,75.7,12.46,0
N001185,S016,13.16,N001230,92.5,N001280,S007,192.2,11.4,0
N008803,S012,13.16,N008125,3634.5,N008145,S104,63.1,13.38,0
N008815,S012,13.16,N008125,3704.4,N008145,S104,63.1,13.38,0
N008833,S012,13.16,N008125,3778.3,N008145,S104,63.1,13.38,0
N002192,S002,13.14,N003536,6323.0,N003486,S031,200.3,14.03,0
N006445,S001,13.14,N005298,6472.7,N004766,S002,1536.5,14.01,0
N007438,S014,13.13,N007524,1595.5,N007564,S006,102.0,14.64,0
N007785,S006,13.13,N007488,2810.2,N007474,S170,75.7,12.41,0
N003093,S011,13.11,N001615,2875.8,N001264,S004,586.3,11.76,0
N002430,S003,13.1,N003270,1624.2,N003298,S160,116.2,13.26,0
N008806,S012,13.1,N008125,3646.2,N008145,S104,63.1,13.32,0
N003172,S011,13.09,N001615,3086.1,N001264,S004,586.3,11.73,0
N001519,S004,13.08,N001038,2478.9,N000999,S156,85.0,13.59,0
N008413,S013,13.07,N007765,3620.5,N007736,S006,161.9,14.81,0
N005211,S001,13.06,N005298,5045.5,N004766,S002,1536.5,13.93,0
N008636,S013,13.06,N007765,3915.1,N007736,S006,161.9,14.8,0
N005262,S001,13.05,N005298,3926.6,N004766,S002,1536.5,13.92,0
N007485,S006,13.05,N007488,1731.5,N007474,S170,75.7,12.33,0
