NODE,SUBNET,WAS_M,DIVERT_AT,DIVERT_DOWN_M,TO_NODE,TO_SUBNET,EXTRA_M,DEF_M,RESCUED
N006910,S014,39.3,N007524,5010.8,N007564,S006,102.0,40.81,0
X000027,S005,39.3,N002822,8635.1,N002836,S092,81.5,39.86,0
N000973,S003,39.16,N003270,5014.8,N003298,S160,116.2,39.32,0
N000404,S004,39.15,N001038,6169.4,N000999,S156,85.0,39.66,0
N007209,S006,39.15,N007488,6037.6,N007474,S170,75.7,38.43,0
N001796,S004,39.14,N001038,6035.7,N000999,S156,85.0,39.65,0
N007213,S006,39.11,N007488,6250.0,N007474,S170,75.7,38.39,0
N000401,S004,39.09,N001038,6260.5,N000999,S156,85.0,39.61,0
N006805,S014,39.05,N007524,5694.5,N007564,S006,102.0,40.56,0
N005947,S001,39.03,N006365,1218.4,N006337,S010,1065.6,13.97,0
N007238,S006,38.98,N007488,6094.2,N007474,S170,75.7,38.26,0
N007180,S006,38.97,N007488,5910.5,N007474,S170,75.7,38.25,0
N007223,S006,38.83,N007488,6004.7,N007474,S170,75.7,38.11,0
N000966,S003,38.82,N003270,4918.0,N003298,S160,116.2,38.98,0
X000135,S005,38.8,N002822,8346.2,N002836,S092,81.5,39.36,0
N001559,S004,38.78,N001038,6011.0,N000999,S156,85.0,39.29,0
N006961,S014,38.77,N007524,5027.8,N007564,S006,102.0,40.28,0
N007265,S006,38.76,N007488,6399.4,N007474,S170,75.7,38.04,0
N005839,S005,38.62,N002822,9756.0,N002836,S092,81.5,39.18,0
N007197,S006,38.62,N007488,5920.1,N007474,S170,75.7,37.9,0
N006843,S014,38.61,N007524,5211.7,N007564,S006,102.0,40.12,0
N001556,S004,38.6,N001038,5995.1,N000999,S156,85.0,39.12,0
N000355,S004,38.56,N001038,5543.1,N000999,S156,85.0,39.08,0
X000070,S001,38.48,N006872,478.8,N006715,S022,738.0,20.46,0
N004044,S005,38.43,N002822,5806.5,N002836,S092,81.5,38.99,0
N007142,S006,38.43,N007488,6042.8,N007474,S170,75.7,37.71,0
X000069,S001,38.39,N006872,523.7,N006715,S022,738.0,20.38,0
N005926,S001,38.34,N006365,1136.7,N006337,S010,1065.6,13.27,0
N006849,S014,38.34,N007524,5168.0,N007564,S006,102.0,39.85,0
N001063,S004,38.28,N001038,5597.0,N000999,S156,85.0,38.8,0
N007181,S006,38.26,N007488,5823.3,N007474,S170,75.7,37.54,0
N007220,S006,38.24,N007488,6141.0,N007474,S170,75.7,37.52,0
N000552,S004,38.23,N001038,6441.6,N000999,S156,85.0,38.74,0
N001663,S004,38.2,N001038,5785.4,N000999,S156,85.0,38.72,0
N000374,S004,38.19,N001038,6436.3,N000999,S156,85.0,38.7,0
N006017,S005,38.18,N002822,9496.9,N002836,S092,81.5,38.74,0
N006891,S014,38.14,N007524,4907.5,N007564,S006,102.0,39.65,0
N006951,S014,38.12,N007524,4921.2,N007564,S006,102.0,39.63,0
N005065,S005,38.07,N002822,7427.7,N002836,S092,81.5,38.62,0
N004699,S005,38.06,N002822,6836.2,N002836,S092,81.5,38.62,0
X000071,S001,38.05,X000071,0.0,N006789,S022,407.1,19.39,0
N001580,S004,38.03,N001038,5933.5,N000999,S156,85.0,38.55,0
N001614,S004,38.03,N001038,5908.4,N000999,S156,85.0,38.54,0
X000089,S014,38.03,N007524,5322.0,N007564,S006,102.0,39.54,0
N004730,S005,37.98,N002822,6706.9,N002836,S092,81.5,38.54,0
N005901,S005,37.98,N002822,9139.6,N002836,S092,81.5,38.54,0
N005957,S005,37.95,N002822,9288.9,N002836,S092,81.5,38.51,0
X000134,S005,37.92,N002822,8629.3,N002836,S092,81.5,38.48,0
N006071,S005,37.89,N002822,9710.1,N002836,S092,81.5,38.45,0
N001664,S004,37.87,N001038,5762.3,N000999,S156,85.0,38.38,0
N005939,S005,37.84,N002822,9231.2,N002836,S092,81.5,38.4,0
N006937,S014,37.82,N007524,4842.1,N007564,S006,102.0,39.33,0
N000398,S004,37.77,N001038,6409.3,N000999,S156,85.0,38.29,0
N005030,S005,37.73,N002822,7225.9,N002836,S092,81.5,38.29,0
N007221,S006,37.64,N007488,5836.9,N007474,S170,75.7,36.92,0
N005045,S005,37.63,N002822,7265.0,N002836,S092,81.5,38.19,0
N007163,S006,37.62,N007488,5923.2,N007474,S170,75.7,36.9,0
N007195,S006,37.62,N007488,5754.7,N007474,S170,75.7,36.9,0
N005964,S005,37.61,N002822,9344.1,N002836,S092,81.5,38.17,0
N005741,S005,37.54,N002822,8894.2,N002836,S092,81.5,38.1,0
N006916,S014,37.51,N007524,4736.6,N007564,S006,102.0,39.02,0
N005085,S005,37.5,N002822,7644.1,N002836,S092,81.5,38.06,0
N000526,S004,37.46,N001038,6359.3,N000999,S156,85.0,37.97,0
N001625,S004,37.45,N001038,5858.7,N000999,S156,85.0,37.96,0
N000430,S004,37.44,N001038,5956.0,N000999,S156,85.0,37.95,0
N003471,S005,37.42,N003404,582.7,N003126,S011,1456.2,23.09,0
N005905,S005,37.4,N002822,9207.8,N002836,S092,81.5,37.96,0
N005049,S005,37.37,N002822,7448.2,N002836,S092,81.5,37.93,0
N005803,S005,37.36,N002822,8998.8,N002836,S092,81.5,37.92,0
N007182,S006,37.35,N007488,5660.7,N007474,S170,75.7,36.63,0
N005853,S005,37.33,N002822,9097.4,N002836,S092,81.5,37.89,0
N007170,S006,37.32,N007488,5879.6,N007474,S170,75.7,36.6,0
N001095,S004,37.31,N001038,5412.3,N000999,S156,85.0,37.82,0
N005861,S005,37.31,N002822,9053.0,N002836,S092,81.5,37.87,0
N001107,S004,37.21,N001038,5489.2,N000999,S156,85.0,37.73,0
N007168,S006,37.2,N007488,5777.8,N007474,S170,75.7,36.48,0
N003444,S005,37.19,N003404,568.7,N003126,S011,1456.2,22.86,0
N005656,S005,37.16,N002822,8766.2,N002836,S092,81.5,37.72,0
N005090,S005,37.12,N002822,7456.2,N002836,S092,81.5,37.68,0
N005640,S005,37.11,N002822,8676.3,N002836,S092,81.5,37.67,0
N004880,S005,37.1,N002822,7101.3,N002836,S092,81.5,37.66,0
N005029,S005,37.1,N002822,7360.7,N002836,S092,81.5,37.66,0
N001368,S003,37.06,N003270,5285.9,N003298,S160,116.2,37.22,0
N005863,S005,37.06,N002822,9019.9,N002836,S092,81.5,37.62,0
N005673,S005,37.03,N002822,8949.5,N002836,S092,81.5,37.59,0
N007165,S006,36.98,N007488,5692.0,N007474,S170,75.7,36.26,0
N005761,S005,36.97,N002822,8881.9,N002836,S092,81.5,37.52,0
N003411,S005,36.88,N003404,464.2,N003126,S011,1456.2,22.55,0
N005679,S005,36.84,N002822,8898.4,N002836,S092,81.5,37.4,0
N005195,S005,36.83,N002822,7359.7,N002836,S092,81.5,37.39,0
N006020,S001,36.81,N006365,992.0,N006337,S010,1065.6,11.74,0
N005630,S005,36.78,N002822,8626.2,N002836,S092,81.5,37.34,0
N006881,S014,36.78,N007524,4971.0,N007564,S006,102.0,38.29,0
N005814,S005,36.74,N002822,8966.9,N002836,S092,81.5,37.3,0
N000431,S004,36.72,N001038,6062.0,N000999,S156,85.0,37.23,0
N005707,S005,36.72,N002822,8791.8,N002836,S092,81.5,37.27,0
N004795,S005,36.71,N002822,6590.9,N002836,S092,81.5,37.27,0
N001090,S003,36.7,N003270,4651.2,N003298,S160,116.2,36.86,0
N007119,S006,36.63,N007488,5345.8,N007474,S170,75.7,35.91,0
N007136,S006,36.59,N007488,5452.9,N007474,S170,75.7,35.87,0
N003474,S005,36.58,N003404,495.8,N003126,S011,1456.2,22.25,0
N005182,S005,36.58,N002822,7270.6,N002836,S092,81.5,37.14,0
N007183,S006,36.58,N007488,5563.2,N007474,S170,75.7,35.86,0
N007186,S006,36.58,N007488,5587.9,N007474,S170,75.7,35.86,0
N007138,S006,36.53,N007488,5540.4,N007474,S170,75.7,35.81,0
N000988,S003,36.51,N003270,4775.1,N003298,S160,116.2,36.67,0
N005601,S005,36.5,N002822,8520.6,N002836,S092,81.5,37.06,0
N004672,S005,36.48,N002822,6483.5,N002836,S092,81.5,37.04,0
N000870,S003,36.46,N003270,5811.1,N003298,S160,116.2,36.62,0
N004983,S005,36.44,N002822,7080.7,N002836,S092,81.5,37.0,0
N005167,S005,36.36,N002822,7219.1,N002836,S092,81.5,36.92,0
N007160,S006,36.3,N007488,5423.6,N007474,S170,75.7,35.58,0
N001626,S004,36.22,N001038,5672.7,N000999,S156,85.0,36.73,0
N005144,S005,36.22,N002822,7108.2,N002836,S092,81.5,36.78,0
N001140,S003,36.21,N003270,4657.2,N003298,S160,116.2,36.37,0
N003430,S005,36.21,N003404,372.9,N003126,S011,1456.2,21.87,0
N005996,S005,36.21,N002822,9505.1,N002836,S092,81.5,36.77,0
N005345,S005,36.19,N002822,8126.2,N002836,S092,81.5,36.75,0
N005668,S005,36.18,N002822,8652.6,N002836,S092,81.5,36.73,0
N005021,S005,36.17,N002822,7082.5,N002836,S092,81.5,36.73,0
N005117,S005,36.13,N002822,7489.8,N002836,S092,81.5,36.69,0
N006077,S001,36.12,N006365,879.8,N006337,S010,1065.6,11.05,0
N007150,S006,36.12,N007488,5341.2,N007474,S170,75.7,35.4,0
N005568,S005,36.04,N002822,8442.6,N002836,S092,81.5,36.6,0
N006123,S001,36.04,N006365,1049.2,N006337,S010,1065.6,10.97,0
N000466,S016,36.01,N001062,2486.8,N001118,S007,214.1,34.42,0
N001094,S003,36.01,N003270,4557.6,N003298,S160,116.2,36.17,0
N007021,S014,35.99,N007524,4707.6,N007564,S006,102.0,37.5,0
N000967,S003,35.96,N003270,4757.6,N003298,S160,116.2,36.12,0
N006962,S014,35.95,N007524,4524.9,N007564,S006,102.0,37.46,0
N005181,S005,35.9,N002822,7361.3,N002836,S092,81.5,36.46,0
N006078,S001,35.9,N006365,965.5,N006337,S010,1065.6,10.83,0
N006092,S001,35.9,N006365,721.8,N006337,S010,1065.6,10.83,0
N000905,S003,35.89,N003270,5677.1,N003298,S160,116.2,36.05,0
N001456,S003,35.87,N003270,5209.6,N003298,S160,116.2,36.03,0
N005389,S005,35.87,N002822,8136.6,N002836,S092,81.5,36.43,0
N000494,S021,35.86,N001886,4001.9,N001826,S040,222.7,35.92,0
N004661,S005,35.85,N002822,5776.8,N002836,S092,81.5,36.41,0
N004767,S005,35.82,N002822,6176.7,N002836,S092,81.5,36.38,0
N005360,S005,35.82,N002822,8064.0,N002836,S092,81.5,36.38,0
N005092,S005,35.78,N002822,7350.4,N002836,S092,81.5,36.33,0
N005142,S005,35.77,N002822,7563.6,N002836,S092,81.5,36.33,0
N007006,S014,35.74,N007524,4595.6,N007564,S006,102.0,37.25,0
N001138,S003,35.73,N003270,4565.7,N003298,S160,116.2,35.89,0
N000471,S016,35.72,N001062,2399.1,N001118,S007,214.1,34.12,0
N005586,S005,35.69,N002822,8588.9,N002836,S092,81.5,36.24,0
N004690,S005,35.68,N002822,5862.2,N002836,S092,81.5,36.24,0
N004742,S005,35.67,N002822,6058.8,N002836,S092,81.5,36.23,0
N007014,S014,35.67,N007524,4511.4,N007564,S006,102.0,37.18,0
N000489,S004,35.66,N001038,5775.3,N000999,S156,85.0,36.18,0
N007132,S006,35.64,N007488,5368.0,N007474,S170,75.7,34.92,0
N004127,S005,35.63,N002822,5387.8,N002836,S092,81.5,36.19,0
N004654,S005,35.63,N002822,6642.6,N002836,S092,81.5,36.18,0
N007027,S014,35.63,N007524,4602.7,N007564,S006,102.0,37.14,0
N007125,S006,35.63,N007488,5208.8,N007474,S170,75.7,34.91,0
N007149,S006,35.6,N007488,5254.4,N007474,S170,75.7,34.88,0
N004725,S005,35.59,N002822,6640.3,N002836,S092,81.5,36.15,0
N005153,S005,35.59,N002822,7219.5,N002836,S092,81.5,36.15,0
N006866,S014,35.58,N007524,5251.2,N007564,S006,102.0,37.09,0
N000961,S003,35.52,N003270,5707.9,N003298,S160,116.2,35.68,0
N000427,S004,35.51,N001038,5869.5,N000999,S156,85.0,36.03,0
N001562,S004,35.49,N001038,5542.2,N000999,S156,85.0,36.0,0
N003450,S005,35.49,N003404,291.9,N003126,S011,1456.2,21.16,0
N006988,S014,35.47,N007524,4408.4,N007564,S006,102.0,36.98,0
N004509,S005,35.42,N002822,5454.6,N002836,S092,81.5,35.98,0
N004680,S005,35.42,N002822,6240.3,N002836,S092,81.5,35.98,0
N000541,S004,35.37,N001038,6225.8,N000999,S156,85.0,35.89,0
N004594,S005,35.37,N002822,6218.1,N002836,S092,81.5,35.92,0
N004590,S005,35.36,N002822,5593.2,N002836,S092,81.5,35.92,0
N004822,S005,35.34,N002822,6370.2,N002836,S092,81.5,35.9,0
N004835,S005,35.29,N002822,6424.8,N002836,S092,81.5,35.85,0
N001098,S003,35.26,N003270,4480.7,N003298,S160,116.2,35.43,0
N000964,S003,35.24,N003270,5421.8,N003298,S160,116.2,35.4,0
X000138,S005,35.2,N002822,7541.3,N002836,S092,81.5,35.76,0
N000493,S016,35.18,N001062,2286.6,N001118,S007,214.1,33.58,0
N000990,S003,35.18,N003270,4684.3,N003298,S160,116.2,35.34,0
N007034,S014,35.13,N007524,4534.4,N007564,S006,102.0,36.64,0
N000416,S007,35.11,N001225,3519.4,N001502,S043,489.5,32.81,0
N004803,S005,35.1,N002822,6990.9,N002836,S092,81.5,35.66,0
N004836,S005,35.1,N002822,6709.0,N002836,S092,81.5,35.65,0
N004508,S005,35.09,N002822,5968.4,N002836,S092,81.5,35.64,0
N000395,S007,35.08,N000395,0.0,N000400,S004,838.5,14.15,0
N005413,S005,35.08,N002822,8031.2,N002836,S092,81.5,35.64,0
N001439,S003,35.07,N003270,5205.2,N003298,S160,116.2,35.23,0
N005514,S005,35.06,N002822,8322.4,N002836,S092,81.5,35.62,0
N000945,S003,35.01,N003270,5907.2,N003298,S160,116.2,35.17,0
N004164,S005,35.01,N002822,5310.5,N002836,S092,81.5,35.57,0
N004685,S005,34.97,N002822,6751.9,N002836,S092,81.5,35.52,0
N000506,S004,34.94,N001038,5875.5,N000999,S156,85.0,35.45,0
N004746,S005,34.94,N002822,6651.2,N002836,S092,81.5,35.5,0
N000457,S007,34.92,N001225,3650.2,N001502,S043,489.5,32.63,0
N004878,S005,34.92,N002822,6538.0,N002836,S092,81.5,35.48,0
N004726,S005,34.9,N002822,6676.8,N002836,S092,81.5,35.46,0
N000318,S007,34.89,N001225,3102.4,N001502,S043,489.5,32.6,0
N000417,S007,34.88,N001225,3826.2,N001502,S043,489.5,32.59,0
N000520,S021,34.86,N001886,3952.1,N001826,S040,222.7,34.92,0
N000538,S021,34.85,N001886,3863.8,N001826,S040,222.7,34.91,0
N001015,S003,34.85,N003270,4638.4,N003298,S160,116.2,35.01,0
N003506,S005,34.81,N003404,286.2,N003126,S011,1456.2,20.47,0
N004867,S005,34.78,N002822,6493.7,N002836,S092,81.5,35.34,0
N005187,S005,34.76,N002822,7542.0,N002836,S092,81.5,35.32,0
N004193,S005,34.75,N002822,5266.0,N002836,S092,81.5,35.31,0
N000485,S016,34.74,N001062,2306.3,N001118,S007,214.1,33.15,0
N006995,S014,34.74,N007524,4320.0,N007564,S006,102.0,36.25,0
X000137,S005,34.72,N002822,7320.8,N002836,S092,81.5,35.28,0
N004702,S005,34.71,N002822,6433.0,N002836,S092,81.5,35.27,0
N005115,S005,34.7,N002822,7312.5,N002836,S092,81.5,35.26,0
N004942,S005,34.68,N002822,7003.7,N002836,S092,81.5,35.24,0
N001374,S003,34.66,N003270,5079.3,N003298,S160,116.2,34.82,0
N007148,S006,34.65,N007488,5114.5,N007474,S170,75.7,33.93,0
N005118,S005,34.64,N002822,7327.1,N002836,S092,81.5,35.2,0
N000597,S004,34.63,N001038,6436.2,N000999,S156,85.0,35.15,0
N004675,S005,34.62,N002822,6385.6,N002836,S092,81.5,35.18,0
N003404,S005,34.61,N003404,0.0,N003126,S011,1456.2,20.28,0
N001144,S003,34.6,N003270,4319.7,N003298,S160,116.2,34.76,0
N004707,S005,34.58,N002822,6546.6,N002836,S092,81.5,35.14,0
N005372,S005,34.58,N002822,7929.9,N002836,S092,81.5,35.14,0
N003475,S005,34.55,N003404,195.6,N003126,S011,1456.2,20.21,0
N004811,S005,34.54,N002822,7043.6,N002836,S092,81.5,35.1,0
N004837,S005,34.52,N002822,6473.4,N002836,S092,81.5,35.08,0
N006998,S014,34.52,N007524,4235.5,N007564,S006,102.0,36.03,0
N000319,S007,34.51,N001225,2906.7,N001502,S043,489.5,32.22,0
N000534,S007,34.51,N001225,4122.3,N001502,S043,489.5,32.22,0
N000448,S004,34.5,N001038,4955.7,N000999,S156,85.0,35.02,0
N000502,S007,34.5,N001225,3809.4,N001502,S043,489.5,32.21,0
N000500,S007,34.48,N001225,3947.1,N001502,S043,489.5,32.19,0
N000567,S007,34.47,N001225,4115.2,N001502,S043,489.5,32.18,0
N000623,S007,34.47,N001225,4372.9,N001502,S043,489.5,32.18,0
N004935,S005,34.47,N002822,6656.1,N002836,S092,81.5,35.03,0
N000992,S003,34.44,N003270,5306.9,N003298,S160,116.2,34.6,0
N001099,S003,34.44,N003270,4340.2,N003298,S160,116.2,34.61,0
N001054,S003,34.43,N003270,4557.3,N003298,S160,116.2,34.59,0
N005111,S005,34.42,N002822,7270.4,N002836,S092,81.5,34.98,0
N000535,S007,34.41,N001225,4029.6,N001502,S043,489.5,32.12,0
N001398,S003,34.4,N003270,5091.5,N003298,S160,116.2,34.57,0
N005043,S005,34.37,N002822,6999.4,N002836,S092,81.5,34.92,0
N004826,S005,34.34,N002822,7010.3,N002836,S092,81.5,34.9,0
N004981,S005,34.32,N002822,6638.7,N002836,S092,81.5,34.88,0
X000025,S005,34.31,N002822,6533.2,N002836,S092,81.5,34.87,0
N001127,S004,34.3,N001038,5107.3,N000999,S156,85.0,34.81,0
N005080,S005,34.3,N002822,7179.5,N002836,S092,81.5,34.86,0
N004202,S005,34.29,N002822,5086.4,N002836,S092,81.5,34.85,0
N000519,S016,34.28,N001062,2198.0,N001118,S007,214.1,32.68,0
N000657,S007,34.28,N001225,4463.0,N001502,S043,489.5,31.99,0
N000468,S004,34.27,N001038,5689.5,N000999,S156,85.0,34.78,0
N001012,S003,34.24,N003270,5534.1,N003298,S160,116.2,34.4,0
N007159,S006,34.22,N007488,5033.1,N007474,S170,75.7,33.5,0
N004892,S005,34.19,N002822,6860.3,N002836,S092,81.5,34.75,0
N005051,S005,34.17,N002822,7059.0,N002836,S092,81.5,34.73,0
N004798,S005,34.16,N002822,7006.3,N002836,S092,81.5,34.71,0
N000496,S016,34.13,N001062,2221.1,N001118,S007,214.1,32.54,0
N005156,S005,34.13,N002822,7599.5,N002836,S092,81.5,34.69,0
N004915,S005,34.11,N002822,6919.1,N002836,S092,81.5,34.67,0
N001145,S003,34.09,N003270,4172.2,N003298,S160,116.2,34.25,0
N004769,S005,34.09,N002822,6599.9,N002836,S092,81.5,34.65,0
N004908,S005,34.09,N002822,7192.5,N002836,S092,81.5,34.65,0
N001102,S003,34.08,N003270,4461.3,N003298,S160,116.2,34.24,0
N005137,S005,34.05,N002822,7405.3,N002836,S092,81.5,34.61,0
N003416,S005,34.03,N003403,925.2,N003085,S011,1023.3,22.22,0
N001383,S003,34.02,N003270,5053.6,N003298,S160,116.2,34.18,0
N004848,S005,33.95,N002822,6443.2,N002836,S092,81.5,34.51,0
N000333,S007,33.87,N001225,2818.6,N001502,S043,489.5,31.57,0
N004979,S005,33.86,N002822,6608.5,N002836,S092,81.5,34.42,0
N000377,S007,33.85,N001225,3059.4,N001502,S043,489.5,31.56,0
N004931,S005,33.84,N002822,6842.4,N002836,S092,81.5,34.39,0
N000492,S004,33.82,N001038,5593.7,N000999,S156,85.0,34.33,0
N005171,S005,33.78,N002822,7677.6,N002836,S092,81.5,34.34,0
N000536,S007,33.77,N001225,3892.0,N001502,S043,489.5,31.48,0
N000624,S007,33.75,N001225,4278.6,N001502,S043,489.5,31.46,0
N001363,S003,33.75,N003270,5010.8,N003298,S160,116.2,33.91,0
N000527,S016,33.74,N001062,2120.3,N001118,S007,214.1,32.15,0
N001148,S003,33.74,N003270,4241.5,N003298,S160,116.2,33.9,0
N000461,S007,33.73,N001225,3572.7,N001502,S043,489.5,31.44,0
N000422,S004,33.71,N001038,6010.3,N000999,S156,85.0,34.23,0
N001338,S003,33.69,N003270,5007.0,N003298,S160,116.2,33.85,0
N000320,S007,33.67,N001225,3177.4,N001502,S043,489.5,31.38,0
N004547,S005,33.66,N002822,5684.6,N002836,S092,81.5,34.22,0
N004781,S005,33.66,N002822,6906.1,N002836,S092,81.5,34.22,0
N000566,S007,33.64,N001225,4207.7,N001502,S043,489.5,31.35,0
N000462,S007,33.63,N001225,3512.6,N001502,S043,489.5,31.34,0
N004736,S005,33.62,N002822,6709.3,N002836,S092,81.5,34.18,0
N004737,S005,33.6,N002822,6497.7,N002836,S092,81.5,34.16,0
N000501,S007,33.58,N001225,3886.9,N001502,S043,489.5,31.29,0
N004713,S005,33.58,N002822,6422.5,N002836,S092,81.5,34.13,0
N000442,S007,33.55,N001225,3731.8,N001502,S043,489.5,31.26,0
N004843,S005,33.55,N002822,6933.3,N002836,S092,81.5,34.11,0
N000578,S021,33.54,N001886,3726.8,N001826,S040,222.7,33.59,0
N004925,S005,33.54,N002822,6788.3,N002836,S092,81.5,34.1,0
N000524,S016,33.52,N001062,2139.0,N001118,S007,214.1,31.92,0
N005060,S005,33.5,N002822,6676.3,N002836,S092,81.5,34.06,0
N000537,S004,33.48,N001038,5588.0,N000999,S156,85.0,34.0,0
N003421,S005,33.47,N003403,888.2,N003085,S011,1023.3,21.66,0
N000568,S007,33.46,N001225,4055.7,N001502,S043,489.5,31.17,0
N001100,S003,33.44,N003270,5592.0,N003298,S160,116.2,33.6,0
N000626,S007,33.42,N001225,4142.3,N001502,S043,489.5,31.13,0
N005034,S005,33.42,N002822,6749.6,N002836,S092,81.5,33.98,0
N001194,S003,33.41,N003270,4098.1,N003298,S160,116.2,33.58,0
N000553,S004,33.4,N001038,6274.2,N000999,S156,85.0,33.91,0
N001532,S003,33.4,N003270,4736.6,N003298,S160,116.2,33.56,0
N000424,S004,33.37,N001038,5962.5,N000999,S156,85.0,33.88,0
N000437,S007,33.36,N001225,3334.6,N001502,S043,489.5,31.07,0
N004964,S005,33.36,N002822,6330.8,N002836,S092,81.5,33.92,0
N000517,S004,33.31,N001038,4869.4,N000999,S156,85.0,33.82,0
N004922,S005,33.31,N002822,6805.4,N002836,S092,81.5,33.87,0
X000031,S005,33.3,N002822,6200.8,N002836,S092,81.5,33.86,0
N000625,S007,33.29,N001225,4219.5,N001502,S043,489.5,30.99,0
N001019,S003,33.28,N003270,5500.1,N003298,S160,116.2,33.44,0
N001058,S003,33.28,N003270,5113.3,N003298,S160,116.2,33.44,0
N004994,S005,33.28,N002822,6835.6,N002836,S092,81.5,33.83,0
N001199,S003,33.25,N003270,4169.3,N003298,S160,116.2,33.41,0
N001036,S003,33.22,N003270,5465.6,N003298,S160,116.2,33.38,0
N004936,S005,33.18,N002822,6275.8,N002836,S092,81.5,33.74,0
N004865,S005,33.17,N002822,6907.0,N002836,S092,81.5,33.73,0
N000569,S007,33.16,N001225,3977.2,N001502,S043,489.5,30.87,0
N005022,S005,33.15,N002822,6432.1,N002836,S092,81.5,33.71,0
N004863,S005,33.14,N002822,6460.1,N002836,S092,81.5,33.7,0
X000097,S014,33.11,N007524,5155.2,N007564,S006,102.0,34.62,0
N005073,S005,33.09,N002822,6627.1,N002836,S092,81.5,33.65,0
N000349,S007,33.08,N001225,2731.6,N001502,S043,489.5,30.79,0
N001209,S003,33.08,N003270,4186.0,N003298,S160,116.2,33.24,0
N000570,S004,33.06,N001038,5483.6,N000999,S156,85.0,33.58,0
N004985,S005,33.05,N002822,6919.1,N002836,S092,81.5,33.61,0
N007047,S014,33.05,N007524,3982.6,N007564,S006,102.0,34.56,0
N005036,S005,33.03,N002822,6464.7,N002836,S092,81.5,33.59,0
N004932,S005,33.01,N002822,6460.1,N002836,S092,81.5,33.57,0
X000030,S005,33.0,N002822,7034.0,N002836,S092,81.5,33.55,0
N001084,S003,32.99,N003270,5055.3,N003298,S160,116.2,33.16,0
N004797,S005,32.99,N002822,6660.8,N002836,S092,81.5,33.55,0
N004920,S005,32.99,N002822,6615.1,N002836,S092,81.5,33.55,0
N000540,S004,32.98,N001038,5386.8,N000999,S156,85.0,33.5,0
N001331,S003,32.98,N003270,4272.6,N003298,S160,116.2,33.14,0
N000545,S016,32.97,N001062,2056.8,N001118,S007,214.1,31.38,0
N004724,S005,32.97,N002822,6573.1,N002836,S092,81.5,33.53,0
N005157,S005,32.97,N002822,7483.4,N002836,S092,81.5,33.53,0
N006946,S014,32.97,N007524,4501.5,N007564,S006,102.0,34.48,0
N007201,S006,32.96,N007488,4926.8,N007474,S170,75.7,32.24,0
N000441,S007,32.95,N001225,3425.6,N001502,S043,489.5,30.66,0
N001207,S003,32.95,N003270,4278.0,N003298,S160,116.2,33.11,0
N004816,S005,32.95,N002822,6628.3,N002836,S092,81.5,33.51,0
N000418,S007,32.94,N001225,2939.8,N001502,S043,489.5,30.65,0
N000557,S016,32.94,N001062,2042.0,N001118,S007,214.1,31.35,0
N000332,S007,32.92,N001225,3089.5,N001502,S043,489.5,30.63,0
N001335,S003,32.92,N003270,4949.4,N003298,S160,116.2,33.08,0
N004886,S005,32.92,N002822,6466.6,N002836,S092,81.5,33.48,0
N001172,S004,32.89,N001038,4920.2,N000999,S156,85.0,33.4,0
X000045,S007,32.83,N001225,3628.5,N001502,S043,489.5,30.53,0
N001306,S003,32.82,N003270,4962.6,N003298,S160,116.2,32.98,0
N004883,S005,32.79,N002822,6182.3,N002836,S092,81.5,33.35,0
N004941,S005,32.78,N002822,6562.6,N002836,S092,81.5,33.34,0
N000463,S007,32.74,N001225,3419.9,N001502,S043,489.5,30.45,0
N000518,S004,32.74,N001038,5492.3,N000999,S156,85.0,33.25,0
N004687,S005,32.7,N002822,6341.6,N002836,S092,81.5,33.26,0
N005075,S005,32.69,N002822,6585.1,N002836,S092,81.5,33.25,0
N001244,S003,32.66,N003270,5016.5,N003298,S160,116.2,32.82,0
N004874,S005,32.65,N002822,6344.8,N002836,S092,81.5,33.21,0
N001278,S003,32.64,N003270,4969.2,N003298,S160,116.2,32.8,0
N004755,S005,32.6,N002822,6654.7,N002836,S092,81.5,33.16,0
N005012,S005,32.6,N002822,7180.6,N002836,S092,81.5,33.16,0
N007202,S006,32.6,N007488,4864.5,N007474,S170,75.7,31.88,0
X000004,S005,32.57,N002822,6399.6,N002836,S092,81.5,33.13,0
N000363,S007,32.53,N001225,2645.9,N001502,S043,489.5,30.24,0
N000376,S007,32.51,N001225,2970.5,N001502,S043,489.5,30.22,0
N001284,S003,32.51,N003270,4938.1,N003298,S160,116.2,32.67,0
N000581,S004,32.5,N001038,6375.0,N000999,S156,85.0,33.01,0
N004806,S005,32.5,N002822,6080.7,N002836,S092,81.5,33.06,0
N005077,S005,32.5,N002822,6591.8,N002836,S092,81.5,33.06,0
N000452,S004,32.49,N001038,5818.6,N000999,S156,85.0,33.0,0
N000617,S021,32.47,N001886,3597.2,N001826,S040,222.7,32.53,0
N000503,S004,32.45,N001038,4779.7,N000999,S156,85.0,32.96,0
N001285,S003,32.45,N003270,4927.4,N003298,S160,116.2,32.61,0
N000592,S004,32.43,N001038,5210.3,N000999,S156,85.0,32.95,0
N007185,S006,32.43,N007488,4868.5,N007474,S170,75.7,31.71,0
N001314,S003,32.42,N003270,4918.0,N003298,S160,116.2,32.58,0
N004992,S005,32.41,N002822,7088.5,N002836,S092,81.5,32.97,0
N004982,S005,32.32,N002822,6569.8,N002836,S092,81.5,32.88,0
N000364,S007,32.31,N001225,2739.4,N001502,S043,489.5,30.02,0
