tree,arcs,km,uphill_pct,uphill_km,climb_m,descent_m,climb_per_km,ratio,worst_rise_m,joins,path_med_m,path_p95_m,path_max_m,def_p95_m,def_max_m,n_over_budget,n_over_floor,n_nodes,uphill_pct_all,weight,LAMBDA_SLOPE,LAMBDA_DETOUR,SHIPPED,PARETO
branching,9550,1160.2401087823475,31.301449587337498,363.17197274257626,2166.665008544922,6147.709533691406,1.8674281229760281,0.35243451185696195,20.725128173828125,193,3197.8660000000004,12058.964499999996,21575.770999999997,54.2289918515625,95.48372325195314,3997,839,9743,20.306650797095116,4016440.4801112516,5.0,1.0,0,1
branching,9550,1129.1642823679417,31.429025212324124,354.88532699397916,2158.6832275390625,5954.7589111328125,1.9117530205721198,0.3625139589620098,20.725128173828125,193,3813.6589999999997,13813.543400000002,22298.822999999997,57.52460967187502,96.94582825195313,4588,605,9743,19.8433055113198,2235869.438707317,2.0,0.25,0,0
branching,9550,1142.4188960338051,31.49157047310696,359.76565174257627,2154.147979736328,6029.893035888672,1.885602546679677,0.357244807978398,20.725128173828125,193,3558.569000000001,13025.659596812737,22298.822999999997,54.23680462109377,95.48372325195314,4343,590,9743,20.116187390661377,2834934.8088293127,3.0,0.5,0,0
branching,9550,1171.107763041974,32.41339139151719,379.5957428512367,2230.4798889160156,6125.4249267578125,1.9045897903727518,0.3641347197273722,20.725128173828125,193,3012.034,10950.959799999995,19081.094647277514,45.12023652441406,95.48372325195314,3740,914,9743,21.22498092551815,5848393.992916923,8.0,2.0,0,1
branching,9550,1108.1887081761556,32.85540513903078,364.09988977626745,2229.4859619140625,5747.5069580078125,2.0118288026804794,0.387904873922387,20.725128173828125,193,4279.918,16775.163300000004,22662.678999999996,59.882496840820295,99.29472325195312,5180,612,9743,20.358534996829878,1615889.0613010123,1.0,0.0,0,0
branching,9550,1125.8965771857927,35.09809887157495,395.16829385234763,2347.4163208007812,5704.6131591796875,2.084930684013809,0.4114943915212535,20.725128173828125,193,3031.9170000000004,10091.199999999997,15172.564000000002,46.61856521679686,95.48372325195314,4006,1001,9743,22.095715395503422,2320911.8243656065,2.0,0.5,0,1
branching,9550,1146.5334866100786,35.92223526690673,411.8604564739411,2441.8771362304688,5730.371734619141,2.1297913796223207,0.4261289230990464,20.725128173828125,193,2724.134,8978.0484,15075.324,46.42483015722656,95.48372325195314,3606,1018,9743,23.029052609951094,2973557.0474788314,3.0,1.0,1,1
branching,9550,1161.4249129943187,36.65993409075944,425.77760761737744,2520.0242309570312,5699.425872802734,2.169769395130375,0.442154049758312,20.725128173828125,193,2558.2729999999997,8143.098359021116,14697.133999999996,44.51419612489981,96.18662825195314,3358,1096,9743,23.807225898561324,4245324.921615272,5.0,2.0,0,1
branching,9550,1102.5058524394403,37.04962124131269,408.47424249211844,2473.294891357422,5427.833160400391,2.243339466983263,0.45566892317209257,20.725128173828125,193,3085.4760000000006,10368.510299999998,18565.032,49.590846663694705,96.75658325195313,4247,1016,9743,22.83971348134534,1716854.263599044,1.0,0.25,0,0
branching,9550,1179.6430007547651,37.655209776048075,444.19704654267525,2614.52392578125,5700.843566894531,2.2163687862416106,0.458620534856297,20.725128173828125,193,2475.2939999999994,7800.389699999999,13792.949,42.839483965290306,90.98666747070313,3328,1112,9743,24.83714324408173,6199893.552457365,8.0,4.0,0,1
