MH_LABEL,LOADTYPE,BASEFLOW,PATTERN
MH-1307,Sanitary Pattern Load,0.0198,Fixed
MH-1297,Sanitary Pattern Load,0.0198,Fixed
MH-1311,Sanitary Pattern Load,0.0099,Fixed
MH-1316,Sanitary Pattern Load,0.0297,Fixed
MH-1322,Sanitary Pattern Load,0.0099,Fixed
MH-1290,Sanitary Pattern Load,0.0198,Fixed
MH-1325,Sanitary Pattern Load,0.0595,Fixed
MH-1333,Sanitary Pattern Load,0.0397,Fixed
MH-1342,Sanitary Pattern Load,0.0198,Fixed
MH-1312,Sanitary Pattern Load,0.0099,Fixed
MH-1337,Sanitary Pattern Load,0.0297,Fixed
MH-1326,Sanitary Pattern Load,0.0099,Fixed
MH-1351,Sanitary Pattern Load,0.0496,Fixed
MH-1275,Sanitary Pattern Load,0.0198,Fixed
MH-1315,Sanitary Pattern Load,0.0496,Fixed
MH-1244,Sanitary Pattern Load,0.0297,Fixed
MH-1338,Sanitary Pattern Load,0.0496,Fixed
MH-1288,Sanitary Pattern Load,0.0198,Fixed
MH-1277,Sanitary Pattern Load,0.0099,Fixed
MH-1335,Sanitary Pattern Load,0.0099,Fixed
MH-1289,Sanitary Pattern Load,0.0099,Fixed
MH-1271,Sanitary Pattern Load,0.0099,Fixed
MH-0702,Sanitary Pattern Load,0.0198,Fixed
MH-0663,Sanitary Pattern Load,0.0099,Fixed
MH-0651,Sanitary Pattern Load,0.0397,Fixed
MH-0625,Sanitary Pattern Load,0.0397,Fixed
MH-0617,Sanitary Pattern Load,0.0496,Fixed
MH-0686,Sanitary Pattern Load,0.0099,Fixed
MH-0672,Sanitary Pattern Load,0.0496,Fixed
MH-0709,Sanitary Pattern Load,0.0496,Fixed
MH-0690,Sanitary Pattern Load,0.0694,Fixed
MH-0645,Sanitary Pattern Load,0.0198,Fixed
MH-0605,Sanitary Pattern Load,0.0793,Fixed
MH-0580,Sanitary Pattern Load,0.0297,Fixed
MH-0562,Sanitary Pattern Load,0.0595,Fixed
MH-0599,Sanitary Pattern Load,0.0694,Fixed
MH-1148,Sanitary Pattern Load,0.0198,Fixed
MH-0056,Sanitary Pattern Load,0.0397,Fixed
MH-0063,Sanitary Pattern Load,0.0198,Fixed
MH-1033,Sanitary Pattern Load,0.0198,Fixed
MH-0080,Sanitary Pattern Load,0.0496,Fixed
MH-1190,Sanitary Pattern Load,0.0397,Fixed
MH-1216,Sanitary Pattern Load,0.0297,Fixed
MH-1228,Sanitary Pattern Load,0.0198,Fixed
MH-0065,Sanitary Pattern Load,0.0496,Fixed
MH-0068,Sanitary Pattern Load,0.0198,Fixed
MH-0064,Sanitary Pattern Load,0.0397,Fixed
MH-0071,Sanitary Pattern Load,0.0297,Fixed
MH-1098,Sanitary Pattern Load,0.0099,Fixed
MH-1066,Sanitary Pattern Load,0.0198,Fixed
MH-1112,Sanitary Pattern Load,0.0099,Fixed
MH-1317,Sanitary Pattern Load,0.0297,Fixed
MH-1240,Sanitary Pattern Load,0.0198,Fixed
MH-1254,Sanitary Pattern Load,0.0198,Fixed
MH-1268,Sanitary Pattern Load,0.0297,Fixed
MH-1183,Sanitary Pattern Load,0.0198,Fixed
MH-1144,Sanitary Pattern Load,0.0099,Fixed
MH-1157,Sanitary Pattern Load,0.0099,Fixed
MH-1135,Sanitary Pattern Load,0.0198,Fixed
MH-1142,Sanitary Pattern Load,0.0496,Fixed
MH-0097,Sanitary Pattern Load,0.0595,Fixed
MH-0054,Sanitary Pattern Load,0.0198,Fixed
MH-0072,Sanitary Pattern Load,0.0297,Fixed
MH-0079,Sanitary Pattern Load,0.0397,Fixed
MH-0078,Sanitary Pattern Load,0.0694,Fixed
MH-0110,Sanitary Pattern Load,0.0099,Fixed
MH-1063,Sanitary Pattern Load,0.0595,Fixed
MH-0066,Sanitary Pattern Load,0.0991,Fixed
MH-0099,Sanitary Pattern Load,0.0198,Fixed
MH-0088,Sanitary Pattern Load,0.0099,Fixed
MH-0140,Sanitary Pattern Load,0.0198,Fixed
MH-0125,Sanitary Pattern Load,0.0297,Fixed
MH-0120,Sanitary Pattern Load,0.0694,Fixed
MH-0150,Sanitary Pattern Load,0.0099,Fixed
MH-0089,Sanitary Pattern Load,0.0099,Fixed
MH-0148,Sanitary Pattern Load,0.0496,Fixed
MH-0160,Sanitary Pattern Load,0.0099,Fixed
MH-0966,Sanitary Pattern Load,0.0496,Fixed
MH-0163,Sanitary Pattern Load,0.0099,Fixed
MH-0172,Sanitary Pattern Load,0.0099,Fixed
MH-0156,Sanitary Pattern Load,0.0099,Fixed
MH-0980,Sanitary Pattern Load,0.0694,Fixed
MH-0967,Sanitary Pattern Load,0.0099,Fixed
MH-1108,Sanitary Pattern Load,0.0198,Fixed
MH-1129,Sanitary Pattern Load,0.0198,Fixed
MH-0997,Sanitary Pattern Load,0.0099,Fixed
MH-1052,Sanitary Pattern Load,0.0892,Fixed
MH-1027,Sanitary Pattern Load,0.0694,Fixed
MH-1010,Sanitary Pattern Load,0.0496,Fixed
MH-0978,Sanitary Pattern Load,0.0397,Fixed
MH-1075,Sanitary Pattern Load,0.0496,Fixed
MH-0986,Sanitary Pattern Load,0.0198,Fixed
MH-0970,Sanitary Pattern Load,0.0297,Fixed
MH-0981,Sanitary Pattern Load,0.0397,Fixed
MH-0992,Sanitary Pattern Load,0.0397,Fixed
MH-0258,Sanitary Pattern Load,0.0099,Fixed
MH-0195,Sanitary Pattern Load,0.0198,Fixed
MH-0287,Sanitary Pattern Load,0.0099,Fixed
MH-0209,Sanitary Pattern Load,0.0099,Fixed
MH-0206,Sanitary Pattern Load,0.0099,Fixed
MH-0236,Sanitary Pattern Load,0.0496,Fixed
MH-0238,Sanitary Pattern Load,0.0496,Fixed
MH-0270,Sanitary Pattern Load,0.0099,Fixed
