LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0407,200,13.813,0.46,0.514,0.072,,,,,
P-0408,200,5.0,1.85,0.446,0.206,,,,,
P-0409,200,30.883,0.46,0.544,0.07,,,,,
P-0410,200,21.209,0.11,0.299,0.039,,,,,
P-0411,200,5.0,0.0,0.017,0.005,,,,,
P-0412,200,5.0,0.18,0.213,0.069,,,,,
P-0413,200,21.209,0.0,0.019,0.005,,,,,
P-0414,200,5.0,2.63,0.496,0.246,,,,,
P-0415,200,12.523,0.11,0.259,0.043,,,,,
P-0416,200,12.523,0.0,0.024,0.004,,,,,
P-0417,200,5.0,0.32,0.258,0.09,,,,,
P-0418,200,5.0,0.0,0.016,0.004,,,,,
P-0419,200,5.0,0.0,0.025,0.006,,,,,
P-0420,200,5.0,0.0,0.029,0.007,,,,,
P-0421,200,6.774,0.46,0.322,0.099,,,,,
P-0422,200,5.0,0.18,0.213,0.069,,,,,
P-0423,200,5.0,0.21,0.226,0.075,,,,,
P-0424,200,5.0,0.25,0.238,0.08,,,,,
P-0425,200,5.0,0.35,0.267,0.094,,,,,
P-0426,200,5.0,0.46,0.29,0.107,,,,,
P-0427,200,5.0,1.35,0.406,0.177,,,,,
P-0428,200,18.449,0.43,0.444,0.076,,,,,
P-0429,200,7.518,1.35,0.468,0.16,,,,,
P-0430,200,5.0,0.14,0.198,0.062,,,,,
P-0431,200,5.0,0.0,0.025,0.006,,,,,
P-0432,200,5.0,1.28,0.399,0.173,,,,,
P-0433,200,5.0,1.74,0.438,0.2,,,,,
P-0434,200,7.061,0.25,0.366,0.06,,,,,
P-0435,200,5.0,0.25,0.238,0.08,,,,,
P-0436,200,7.061,0.18,0.213,0.069,,,,,
P-0437,200,5.0,0.78,0.343,0.136,,,,,
P-0438,200,5.0,0.43,0.283,0.103,,,,,
P-0439,200,5.0,3.89,0.555,0.299,,,,,
P-0440,200,9.884,1.53,0.535,0.159,,,,,
P-0441,200,5.0,1.53,0.421,0.188,,,,,
P-0442,200,5.0,2.2,0.47,0.225,,,,,
P-0443,200,9.536,1.45,0.521,0.157,,,,,
P-0444,200,5.0,0.6,0.316,0.121,,,,,
P-0445,200,5.0,2.16,0.468,0.223,,,,,
P-0446,200,5.137,0.25,0.24,0.08,,,,,
P-0447,200,5.0,1.03,0.373,0.156,,,,,
P-0448,200,7.061,0.18,0.213,0.069,,,,,
