PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P08278,C130,secondary header,sub main,200,261.5,0.5,0.062,0.15,2.025,0.3,below Mara's slope
P08279,C01,secondary main sewer,lateral,200,55.6,0.5,0.802,0.345,0.623,22.2,below Mara's slope
P08280,C01,secondary main sewer,lateral,200,144.6,0.5,0.496,0.297,0.777,10.9,below Mara's slope
P08281,C01,secondary main sewer,lateral,200,129.2,0.5,0.026,0.111,3.042,0.1,below Mara's slope
P08282,C01,secondary header,sub main,200,333.7,0.6,0.185,0.23,1.226,3.3,below Mara's slope
P08283,C126,secondary main sewer,lateral,200,79.6,0.5,0.088,0.169,1.725,0.7,below Mara's slope
P08284,C03,secondary header,sub main,200,341.5,0.5,0.253,0.239,1.061,3.5,below Mara's slope
P08285,C01,secondary main sewer,lateral,200,82.1,0.5,0.702,0.331,0.662,18.3,below Mara's slope
P08286,C01,secondary main sewer,lateral,200,81.6,1.0,0.106,0.228,1.586,1.3,below Mara's slope
P08287,C01,secondary header,sub main,200,108.6,0.5,0.741,0.337,0.646,25.3,below Mara's slope
P08288,C21,secondary header,sub main,200,102.0,0.5,0.61,0.317,0.707,14.8,below Mara's slope
P08289,C21,secondary header,sub main,200,60.5,0.5,0.721,0.334,0.654,18.9,below Mara's slope
P08290,C01,secondary main sewer,lateral,200,134.4,0.9,0.239,0.288,1.088,3.5,below Mara's slope
P08291,C05,secondary header,sub main,200,170.5,0.5,0.475,0.293,0.793,15.2,below Mara's slope
P08294,C01,secondary main sewer,lateral,200,84.2,0.5,0.362,0.269,0.899,6.8,below Mara's slope
P08295,C03,secondary main sewer,lateral,200,227.0,0.5,0.104,0.179,1.595,0.7,below Mara's slope
P08296,C36,secondary main sewer,lateral,200,48.3,0.5,0.295,0.251,0.989,4.8,below Mara's slope
P08297,C36,secondary main sewer,lateral,200,69.7,0.65,0.277,0.27,1.018,4.1,below Mara's slope
P08298,C36,secondary main sewer,lateral,200,64.6,2.15,0.039,0.209,2.526,0.2,below Mara's slope
P08299,C05,secondary main sewer,lateral,200,44.3,0.5,0.466,0.291,0.8,13.8,below Mara's slope
P08300,C05,secondary main sewer,lateral,200,79.6,0.5,0.375,0.272,0.884,10.0,below Mara's slope
P08301,C05,secondary main sewer,lateral,200,10.7,0.5,0.173,0.211,1.265,2.6,below Mara's slope
P08302,C05,secondary main sewer,lateral,200,106.6,0.5,0.167,0.209,1.284,2.9,below Mara's slope
P08303,C149,secondary main sewer,lateral,200,31.4,3.5,0.015,0.175,3.904,0.0,below Mara's slope
P08304,C149,secondary header,sub main,200,250.4,0.5,0.212,0.226,1.15,3.2,below Mara's slope
P08305,C01,secondary header,sub main,200,96.8,0.5,0.809,0.346,0.62,20.5,below Mara's slope
P08306,C01,secondary main sewer,lateral,200,98.7,1.4,0.044,0.189,2.374,0.2,below Mara's slope
P08307,C01,secondary main sewer,lateral,200,22.3,0.5,0.0,0.0,,0.0,no flow in 2030
P08308,C05,secondary main sewer,lateral,200,23.6,0.5,0.126,0.191,1.46,1.8,below Mara's slope
P08309,C149,secondary header,sub main,200,10.2,0.5,0.213,0.226,1.148,3.2,below Mara's slope
P08310,C03,secondary main sewer,lateral,200,84.3,0.5,0.367,0.27,0.894,6.2,below Mara's slope
P08311,C03,secondary header,sub main,200,349.7,0.5,0.306,0.254,0.972,4.7,below Mara's slope
