fid,Name,Classes,Build,SETTLE,AREA_M2,PROPS,POP,G_NDOM,G_GOV,G_SPEC,WORKERS,W_DOM,W_NDOM,W_GOV,W_SPEC,S_DOM,S_NDOM,S_GOV,S_SPEC,QADF,FUT_CAP,FUT_PROPS
32377,Primary Account Tariff,Residential,EXisting,IBRI,414.3,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32378,Primary Account Tariff (with National Subsidy),Residential,EXisting,IBRI,824.1,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32379,Primary Account Tariff,Residential,EXisting,IBRI,523.6,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32380,Primary Account Tariff (with National Subsidy),Residential,EXisting,IBRI,488.4,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32381,Primary Account Tariff (with National Subsidy),Residential,EXisting,IBRI,450.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32382,CRT Time of Use,Residential-Commercial,EXisting,AL QALI,33404.3,0,0.0,0,1,0,0.0,0.0,0.0,0.3109,0.0,0.0,0.0,0.1679,0.0,0.1679,0,0.0
32383,NULL,Agricultural,Future,AL AKHEEDAR,2176.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32384,CRT Time of Use,Agricultural,EXisting,AL QALI,9545.0,0,0.0,0,1,0,0.0,0.0,0.0,0.3109,0.0,0.0,0.0,0.1679,0.0,0.1679,0,0.0
32385,Government,Residential,EXisting,AL QALI,2017.4,0,0.0,0,1,0,0.0,0.0,0.0,0.3109,0.0,0.0,0.0,0.1679,0.0,0.1679,0,0.0
32386,NULL,Residential,Future,AL QALI,4523.4,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32387,NULL,Residential,Future,USAYBUQ,4642.1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32388,NULL,Residential,Future,USAYBUQ,15237.9,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32389,NULL,Residential,Future,USAYBUQ,737.5,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32390,NULL,Residential,Future,USAYBUQ,647.5,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32391,NULL,Residential,Future,USAYBUQ,600.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32392,NULL,Residential,Future,USAYBUQ,612.7,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32393,NULL,Residential,Future,USAYBUQ,600.6,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.235
32394,NULL,Residential,Future,IBRI,647.5,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.602
32395,Primary Account Tariff,Residential,EXisting,IBRI,600.0,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
32396,Primary Account Tariff (with National Subsidy),Residential,EXisting,IBRI,647.5,1,5.32,0,0,0,0.0,0.8725,0.0,0.0,0.0,0.7416,0.0,0.0,0.0,0.7416,0,0.0
