fid,Name,SETTLE,Buiding_St,Classes,DERIVED,CLASS2,GREEN,VEGFRAC,HIGH,G_DOM,G_NDOM,G_GOV,G_SPEC,G_AGR
174,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
175,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.006,0,0,0,0,0,0
176,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
177,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
178,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.007,0,0,0,0,0,0
179,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
180,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.004,0,0,0,0,0,0
181,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
182,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
183,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
184,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.082,0,0,0,0,0,0
185,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.012,0,0,0,0,0,0
186,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.032,0,0,0,0,0,0
187,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.092,0,0,0,0,0,0
188,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.051,0,0,0,0,0,0
189,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
190,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
191,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
192,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
193,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
194,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.014,0,0,0,0,0,0
195,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.062,0,0,0,0,0,0
196,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
197,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.022,0,0,0,0,0,0
198,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.09,0,0,0,0,0,0
199,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.181,0,0,0,0,0,0
200,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.096,0,0,0,0,0,0
201,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
202,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.012,0,0,0,0,0,0
203,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.149,0,0,0,0,0,0
204,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.09,0,0,0,0,0,0
205,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.084,0,0,0,0,0,0
206,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.339,0,0,0,0,0,0
207,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
208,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.315,0,0,0,0,0,0
209,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.171,0,0,0,0,0,0
210,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.002,0,0,0,0,0,0
211,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.635,0,0,0,0,0,0
212,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.122,0,0,0,0,0,0
213,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.592,0,0,0,0,0,0
214,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.821,0,0,0,0,0,0
215,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.908,0,0,0,0,0,0
216,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.444,0,0,0,0,0,0
217,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.323,0,0,0,0,0,0
218,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
219,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.042,0,0,0,0,0,0
220,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.096,0,0,0,0,0,0
221,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.671,0,0,0,0,0,0
222,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.01,0,0,0,0,0,0
223,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.11,0,0,0,0,0,0
224,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.044,0,0,0,0,0,0
225,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
226,,AT TAYYIB,Future,Agricultural,Unmetered,Unmetered,0,0.135,0,0,0,0,0,0
227,,AT TAYYIB,Future,Agricultural,Unmetered,Unmetered,0,0.3,0,0,0,0,0,0
228,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.079,0,0,0,0,0,0
229,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.281,0,0,0,0,0,0
230,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.048,0,0,0,0,0,0
231,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.323,0,0,0,0,0,0
232,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.179,0,0,0,0,0,0
233,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.166,0,0,0,0,0,0
234,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.102,0,0,0,0,0,0
235,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.139,0,0,0,0,0,0
236,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.215,0,0,0,0,0,0
237,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.398,0,0,0,0,0,0
238,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.042,0,0,0,0,0,0
239,,AT TAYYIB,Future,Agricultural,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
240,,AT TAYYIB,Future,Agricultural,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
241,,AT TAYYIB,Future,Agricultural,Unmetered,Unmetered,0,0.03,0,0,0,0,0,0
242,,AT TAYYIB,Future,Agricultural,Unmetered,Unmetered,0,0.636,0,0,0,0,0,0
243,,AT TAYYIB,Future,Agricultural,Unmetered,Unmetered,0,0.69,0,0,0,0,0,0
244,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.056,0,0,0,0,0,0
245,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.311,0,0,0,0,0,0
246,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.332,0,0,0,0,0,0
247,,AT TAYYIB,Future,Commercial,Unmetered,Unmetered,0,0.916,0,0,0,0,0,0
248,,AT TAYYIB,Future,Commercial,Unmetered,Unmetered,0,0.06,0,0,0,0,0,0
249,,AT TAYYIB,Future,Commercial,Unmetered,Unmetered,0,0.695,0,0,0,0,0,0
250,,AT TAYYIB,Future,Commercial,Unmetered,Unmetered,0,1.0,0,0,0,0,0,0
251,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.107,0,0,0,0,0,0
252,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.06,0,0,0,0,0,0
253,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.379,0,0,0,0,0,0
254,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.569,0,0,0,0,0,0
255,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.25,0,0,0,0,0,0
256,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.305,0,0,0,0,0,0
257,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.2,0,0,0,0,0,0
258,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.435,0,0,0,0,0,0
259,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.283,0,0,0,0,0,0
260,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.375,0,0,0,0,0,0
261,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.108,0,0,0,0,0,0
262,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.265,0,0,0,0,0,0
263,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.446,0,0,0,0,0,0
264,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.811,0,0,0,0,0,0
265,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.04,0,0,0,0,0,0
266,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.167,0,0,0,0,0,0
267,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.342,0,0,0,0,0,0
268,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.345,0,0,0,0,0,0
269,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.088,0,0,0,0,0,0
270,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.447,0,0,0,0,0,0
271,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.248,0,0,0,0,0,0
272,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.405,0,0,0,0,0,0
273,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.372,0,0,0,0,0,0
274,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.419,0,0,0,0,0,0
275,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.559,0,0,0,0,0,0
