CH_M,GROUND_M
8380.0,327.73
8390.0,327.71
8400.0,327.66
8410.0,327.47
8420.0,327.49
8430.0,327.3
8440.0,327.05
8450.0,326.84
8460.0,326.77
8470.0,326.63
8480.0,326.49
8490.0,326.37
8500.0,326.46
8510.0,326.49
8520.0,326.47
8530.0,326.39
8540.0,326.18
8550.0,326.1
8560.0,326.03
8570.0,325.88
8580.0,325.68
8590.0,325.59
8600.0,325.53
8610.0,325.52
8620.0,325.4
8630.0,325.43
8640.0,325.47
8650.0,325.51
8660.0,325.62
8670.0,325.7
8680.0,325.76
8690.0,325.65
8700.0,325.59
8710.0,325.81
8720.0,325.91
8730.0,326.02
8740.0,326.08
8750.0,326.13
8760.0,326.19
8770.0,326.16
8780.0,326.2
8790.0,326.17
8800.0,326.13
8810.0,326.29
8820.0,326.29
8830.0,326.37
8840.0,326.36
8850.0,326.42
8860.0,326.43
8870.0,326.48
8880.0,326.43
8890.0,326.44
8900.0,326.43
8910.0,326.4
8920.0,326.37
8930.0,326.39
8940.0,326.42
8950.0,326.39
8960.0,326.46
8970.0,326.13
8980.0,326.06
8990.0,325.93
9000.0,325.76
9010.0,325.63
9020.0,325.5
9030.0,325.45
9040.0,325.44
9050.0,325.62
9060.0,325.66
9070.0,326.09
9080.0,326.2
9090.0,326.46
9100.0,326.67
9110.0,326.75
9120.0,326.87
9130.0,326.96
9140.0,327.03
9150.0,327.08
9160.0,327.14
9170.0,327.16
9180.0,327.2
9190.0,327.33
9200.0,327.43
9210.0,327.57
9220.0,327.69
9230.0,327.76
9240.0,327.85
9250.0,327.72
9260.0,327.38
9270.0,326.93
9280.0,326.58
9290.0,326.58
9300.0,326.55
9310.0,326.45
9320.0,326.46
9330.0,326.56
9340.0,326.79
9350.0,326.81
9360.0,326.78
9370.0,326.81
9380.0,326.95
9390.0,326.88
9400.0,326.92
9410.0,327.15
9420.0,327.36
9430.0,327.58
9440.0,327.68
9450.0,327.61
9460.0,327.57
9470.0,327.51
9480.0,327.46
9490.0,327.46
9500.0,327.6
9510.0,327.58
9520.0,327.74
9530.0,327.86
9540.0,327.86
9550.0,327.91
9560.0,327.91
9570.0,327.84
9580.0,328.07
9590.0,328.33
9600.0,328.42
9610.0,328.25
9620.0,327.98
9630.0,327.94
9640.0,328.39
9650.0,328.61
9660.0,328.53
9670.0,328.27
9680.0,328.37
9690.0,328.46
9700.0,328.66
9710.0,329.0
9720.0,329.2
9730.0,329.3
9740.0,329.37
9750.0,329.37
9760.0,329.33
9770.0,329.27
9780.0,329.12
9790.0,329.1
9800.0,328.97
9810.0,328.89
9820.0,328.87
9830.0,328.74
9840.0,328.7
9850.0,328.59
9860.0,328.56
9870.0,328.59
9880.0,328.65
9890.0,328.61
9900.0,328.33
9910.0,328.34
9920.0,328.38
9930.0,328.27
9940.0,328.23
9950.0,328.42
9960.0,328.58
9970.0,328.72
9980.0,328.74
9990.0,328.73
9993.5,328.72
