node,depth,recover_m,best_depth,q
8153,12.35209407607499,22.868830500063623,1.6,393.4498705765625
3447,13.599255083516994,346.3154812599171,1.9,2641.9256652957724
8707,13.189051070243124,340.33085626195435,2.0,3165.404140659535
3393,13.664878443495468,55.70754410251607,1.715,913.0639920698329
3252,12.547008374183577,171.46928945441476,1.6,309.4437794295427
8737,12.927201649594451,188.49487418411036,2.1,5492.0856317206535
11311,13.583114917511978,134.99593759016744,1.6,402.19963497560104
20223,12.697888033171864,133.63727698753647,1.5559367372752035,41761.08296019996
2933,12.002912505431425,168.39867731142522,1.3188461500986364,41977.490370991014
1741,57.09276648888789,80.34725868387177,1.6,9.80965337456447
57325,12.34265357212331,481.2201621406937,1.65,627.6187199302368
3183,14.888737311784325,356.8855437609476,1.9,1856.5472397765702
2433,12.383372646942519,114.05048326665217,1.9,2250.239190785628
10251,12.087688922448649,38.87420136226409,2.0,2674.0652683152057
10399,12.326187605979214,86.93451366947069,1.6,211.91736107033236
10497,12.462393634674186,171.70557571961606,1.715,1033.7751495827656
8409,12.160575619596557,548.9671105560592,-0.17997782281423724,19914.788795823308
1211,12.707860122128125,215.3906938959268,1.6,308.88623787872706
1192,14.840473928169786,2.7092518278696662,1.6,0.0
1451,12.367323380513483,291.1327492297983,1.6,327.8412720297899
8977,12.518659799710008,2.8018184500478993,1.65,582.8331877819936
980,12.079792872256462,64.64790306735185,1.6,40.71223118541352
1285,12.780179204308808,92.280591300159,1.6,159.92808434744762
659,12.30050891623739,33.576418733259835,1.715,850.2331153796376
1035,15.349105692332671,226.99237930724914,1.6,3.9819522632365807
8094,14.70616686329987,646.3431315533867,1.6,14.36446426323658
790,12.368664691813933,2212.3759568296,1.6,85.66094854807986
250,14.213362938444902,7.674239459328414,1.6,364.922858066553
227,14.382566969449385,207.1526104005353,1.6,381.784057554553
491,13.38212047555021,369.89594688583884,2.0,3519.18705345896
1202,13.81855057046755,230.03170339883164,1.6,59.477009230443635
9355,14.682392745816173,275.8977119410286,1.6,152.77832427456752
10063,13.762356778640026,260.3400826595675,1.6,117.51344721439963
191,12.102684687123201,404.5281205292414,1.6,35.294607936
107,12.501182215891902,96.94397012243117,1.6,71.07004569420928
116,12.811662359358593,47.89207763376787,1.6,322.51190209748927
13393,12.342037104607925,147.51041003791929,1.6,3.3046052479999997
44,13.263811857197197,369.74093686759727,1.6,11.865727999999999
41,17.205376083021008,417.64129680846406,1.6,178.77378357553405
