NODE,X,Y,GROUND,DEPTH_M,LIFT_M,PLOTS_UP,QADF_M3D,QPK_LS,P_KW,EXC_M,EXC_REACHES,STATUS,MAXDEPTH_NOPS,GROUND_RECOV_M,GROUND_FULL_M,DM_M2,DIG_B1,DIG_B15,DIG_B2,PS_CAPEX,PS_OPEX_YR,PS_KWH_YR,PS_LCC,PS_LCC_NOSTAFF,ELIMINABLE,WIN_STAFFED_B1.0,WIN_STAFFED_B1.5,WIN_STAFFED_B2.0,WIN_UNSTAFFED_B1.0,WIN_UNSTAFFED_B1.5,WIN_UNSTAFFED_B2.0
7845,455840.2503625501,2573395.682869636,385.58,25.862,24.262,3,11.33,0.468,0.111,159.9,1,REBREACH,26.27,,,3799.7,136788.0,229820.0,426783.0,9787.0,12096.0,421.0,180274.0,11147.0,0,1,1,1,1,1,1
3285,448948.9547057235,2567734.687576968,351.65,12.326,10.726,31,48.54,2.004,0.211,333.8,1,REBREACH,13.08,333.8,,3580.3,128891.0,163249.0,218567.0,13757.0,12140.0,797.0,184854.0,15726.0,0,1,1,1,1,1,1
8077,446617.8563173161,2560985.033858629,326.05,12.99,11.39,41,33.32,1.376,0.154,311.2,1,REBREACH,15.84,,,3545.1,127622.0,174463.0,253070.0,11623.0,12116.0,581.0,182388.0,13261.0,0,1,1,1,1,1,1
8409,447026.0382873661,2565695.249799762,342.27,12.161,10.561,14797,20239.91,431.409,44.694,743.0,2,REBREACH,12.16,549.0,,3514.6,126525.0,162618.0,221654.0,238849.0,20691.0,327071.0,530467.0,361340.0,0,1,1,1,1,1,1
9355,450796.40982183284,2565923.575050205,348.47,14.682,13.082,220,158.35,6.07,0.779,275.9,1,REBREACH,17.97,,,3268.2,117655.0,171971.0,268856.0,27600.0,12312.0,3170.0,201122.0,31995.0,0,1,1,1,1,1,1
18499,458969.44041623734,2566958.111191323,375.62,13.059,11.459,41,49.61,2.048,0.23,280.8,1,REBREACH,14.97,,,3218.1,115851.0,154839.0,219313.0,14416.0,12147.0,870.0,185617.0,16489.0,0,1,1,1,1,1,1
18539,473954.1642045468,2571864.5498480247,496.21,12.728,11.128,88,63.15,2.608,0.285,420.6,1,REBREACH,12.73,420.6,,3180.6,114502.0,150558.0,209241.0,16140.0,12167.0,1075.0,187618.0,18491.0,0,1,1,1,1,1,1
10063,447456.379022281,2563646.010865129,333.95,13.762,12.162,135,121.35,4.804,0.573,260.3,1,REBREACH,14.0,,,3166.3,113989.0,147751.0,204189.0,23437.0,12256.0,2258.0,196174.0,27047.0,0,1,1,1,1,1,1
13067,435632.0456992968,2575932.077227799,324.92,15.766,14.166,51,131.02,5.139,0.714,222.8,1,REBREACH,16.76,,,3156.8,113646.0,158227.0,236269.0,26351.0,12294.0,2840.0,199622.0,30494.0,0,1,1,1,1,1,1
1451,453063.1426669676,2566020.239984194,356.23,12.367,10.767,329,340.04,11.884,1.255,291.1,1,REBREACH,12.37,291.1,,3132.9,112783.0,139428.0,182815.0,35589.0,12432.0,5603.0,210810.0,41683.0,0,1,1,1,1,1,1
13087,435026.8903156813,2574971.2612543963,317.85,12.707,11.107,17,69.91,2.887,0.315,278.0,1,REBREACH,16.42,,,3087.7,111156.0,154147.0,227215.0,17023.0,12177.0,1188.0,188645.0,19518.0,0,1,1,1,1,1,1
