zone,pkg,tier,pipes,chambers,len_m,median_pipe_m,props_direct,internal_junctions,head_chambers,outlets,simple_path,hull_ha,long_side_m,short_side_m,elongation,props_at_outlet,len_at_outlet_m,pipes_at_outlet,ds_zone,ds_tier,mh_lo,mh_hi,mh_span,has_levels,dia_max,mh_contiguous,chain_to_main
5A-1-B115,5A-1,lateral,2,2,54.6,27.3,5,0,1,1,1,0.032,37.7,17.0,2.22,5,54.6,2,5A-1-B111,lateral,1.0,1.0,1.0,0,,0,19
5A-1-B116,5A-1,lateral,3,3,108.0,35.2,1,0,1,1,1,0.035,107.1,6.4,16.73,52,978.6,33,5A-1-B110,lateral,1.0,2.0,2.0,0,,0,18
5A-1-B117,5A-1,lateral,3,3,84.0,27.5,7,0,1,1,1,0.004,83.9,1.0,80.89,7,84.0,3,5A-1-B116,lateral,1.0,2.0,2.0,0,,0,19
5A-1-B118,5A-1,lateral,2,2,45.2,22.6,2,0,1,1,1,0.005,45.0,2.1,21.08,44,786.6,27,5A-1-B116,lateral,1.0,1.0,1.0,0,,0,19
5A-1-B119,5A-1,lateral,2,2,74.1,37.1,3,0,1,1,1,0.001,74.1,0.2,,3,74.1,2,5A-1-B118,lateral,1.0,1.0,1.0,0,,0,20
5A-1-B12,5A-1,lateral,1,1,33.2,33.2,0,0,1,1,1,0.0,,,,0,33.2,1,5A-1-B20,lateral,5.0,5.0,1.0,0,,1,22
5A-1-B120,5A-1,lateral,3,3,107.5,34.0,3,0,1,1,1,0.0,107.5,0.0,,39,667.3,23,5A-1-B118,lateral,1.0,2.0,2.0,0,,0,20
5A-1-B121,5A-1,lateral,3,3,99.5,34.7,4,0,1,1,1,0.101,71.0,28.4,2.5,4,99.5,3,5A-1-B120,lateral,1.0,2.0,2.0,0,,0,21
5A-1-B122,5A-1,lateral,5,5,139.3,26.3,8,1,2,1,0,0.216,83.4,39.2,2.13,32,460.3,17,5A-1-B120,lateral,1.0,3.0,3.0,0,,0,21
5A-1-B123,5A-1,lateral,2,2,57.5,28.8,5,0,1,1,1,0.0,57.5,0.2,,5,57.5,2,5A-1-B122,lateral,1.0,1.0,1.0,0,,0,22
5A-1-B124,5A-1,lateral,3,3,57.2,23.5,5,0,1,1,1,0.017,53.2,6.5,8.2,19,263.5,10,5A-1-B122,lateral,1.0,1.0,1.0,0,,0,22
5A-1-B125,5A-1,lateral,2,2,63.0,31.5,4,0,1,1,1,0.0,63.0,0.1,,4,63.0,2,5A-1-B124,lateral,1.0,1.0,1.0,0,,0,23
5A-1-B126,5A-1,lateral,5,5,143.2,27.0,10,0,1,1,1,0.257,101.4,50.2,2.02,10,143.2,5,5A-1-B124,lateral,1.0,4.0,4.0,0,,0,23
5A-1-B127,5A-1,lateral,2,2,74.6,37.3,7,0,1,1,1,0.0,74.6,0.0,,82,1383.0,46,5A-1-B109,lateral,1.0,1.0,1.0,0,,0,16
5A-1-B128,5A-1,lateral,2,2,62.4,31.2,1,0,1,1,1,0.0,62.4,0.2,,1,62.4,2,5A-1-B127,lateral,1.0,1.0,1.0,0,,0,17
5A-1-B130,5A-1,lateral,6,6,181.3,30.1,37,0,1,1,1,0.353,146.0,41.0,3.56,37,181.3,6,5A-1-B109,lateral,1.0,5.0,5.0,0,,0,16
5A-1-B131,5A-1,lateral,6,6,190.4,30.0,0,0,1,1,1,0.344,170.7,27.1,6.3,376,4418.2,148,5A-1-B142,lateral,1.0,5.0,5.0,0,,0,17
5A-1-B132,5A-1,lateral,2,2,65.6,32.8,2,0,1,1,1,0.0,65.6,0.1,,80,913.3,32,5A-1-B131,lateral,1.0,1.0,1.0,0,,0,18
5A-1-B134,5A-1,lateral,4,4,96.1,24.1,12,1,2,1,0,0.082,56.0,20.3,2.76,20,154.4,6,5A-1-B132,lateral,1.0,2.0,2.0,0,,0,19
5A-1-B135,5A-1,lateral,1,1,40.0,40.0,9,0,1,1,1,0.0,,,,9,40.0,1,5A-1-B153,lateral,,,,0,,0,20
5A-1-B136,5A-1,lateral,1,1,35.7,35.7,6,0,1,1,1,0.0,,,,6,35.7,1,5A-1-B134,lateral,,,,0,,0,20
5A-1-B137,5A-1,lateral,1,1,22.6,22.6,2,0,1,1,1,0.0,,,,2,22.6,1,5A-1-B134,lateral,,,,0,,0,20
5A-1-B138,5A-1,lateral,5,5,132.7,23.5,12,1,2,1,0,0.165,85.1,26.6,3.21,12,132.7,5,5A-1-B153,lateral,1.0,3.0,3.0,0,,0,20
5A-1-B140,5A-1,lateral,3,3,86.3,30.1,1,0,1,1,1,0.063,78.2,16.2,4.83,1,86.3,3,5A-1-B153,lateral,1.0,2.0,2.0,0,,0,20
5A-1-B142,5A-1,lateral,2,2,71.1,35.6,0,0,1,1,1,0.0,71.1,0.0,,390,4597.2,155,5A-1-B144,lateral,1.0,1.0,1.0,0,,0,16
5A-1-B143,5A-1,lateral,5,5,107.9,21.9,14,1,2,1,0,0.142,67.2,29.6,2.27,14,107.9,5,5A-1-B142,lateral,1.0,3.0,3.0,0,,0,17
5A-1-B144,5A-1,lateral,3,3,77.5,23.5,2,0,1,1,1,0.01,77.3,2.5,30.54,395,4716.4,160,5A-1-B146,lateral,1.0,2.0,2.0,0,,0,15
5A-1-B145,5A-1,lateral,2,2,41.6,20.8,3,0,1,1,1,0.0,41.6,0.1,,3,41.6,2,5A-1-B144,lateral,1.0,2.0,2.0,0,,1,16
5A-1-B146,5A-1,lateral,2,2,64.8,32.4,1,0,1,1,1,0.0,64.8,0.0,,403,4914.6,168,5A-1-B150,lateral,1.0,1.0,1.0,0,,0,14
5A-1-B147,5A-1,lateral,4,4,92.1,23.6,2,0,1,1,1,0.039,89.9,8.2,11.01,7,133.4,6,5A-1-B146,lateral,1.0,4.0,4.0,0,,1,15
5A-1-B148,5A-1,lateral,2,2,41.3,20.7,5,0,1,1,1,0.0,41.3,0.0,,5,41.3,2,5A-1-B147,lateral,1.0,1.0,1.0,0,,0,16
5A-1-B150,5A-1,lateral,8,8,292.6,36.2,7,0,1,1,1,0.003,292.6,0.2,,422,5366.9,182,5A-1-B167,lateral,1.0,7.0,7.0,0,,0,13
5A-1-B151,5A-1,lateral,5,5,137.6,27.1,7,0,1,1,1,0.185,111.0,31.4,3.53,12,159.7,6,5A-1-B150,lateral,1.0,2.0,2.0,0,,0,14
5A-1-B152,5A-1,lateral,1,1,22.1,22.1,5,0,1,1,1,0.0,,,,5,22.1,1,5A-1-B151,lateral,,,,0,,0,15
5A-1-B153,5A-1,lateral,15,15,434.4,30.2,36,1,2,1,0,1.677,260.9,86.5,3.01,58,693.3,24,5A-1-B132,lateral,1.0,12.0,12.0,0,,0,19
5A-1-B154,5A-1,lateral,2,2,37.6,18.8,0,0,1,1,1,0.0,37.6,0.0,,23,313.8,12,5A-1-B157,lateral,1.0,1.0,1.0,0,,0,15
5A-1-B155,5A-1,lateral,6,6,180.3,30.6,18,1,2,1,0,0.382,120.2,46.2,2.6,18,180.3,6,5A-1-B154,lateral,1.0,4.0,4.0,0,,0,16
5A-1-B156,5A-1,lateral,4,4,95.9,21.3,5,1,2,1,0,0.08,56.2,20.5,2.74,5,95.9,4,5A-1-B154,lateral,1.0,1.0,1.0,0,,0,16
5A-1-B157,5A-1,lateral,6,6,158.1,23.3,8,1,2,1,0,0.237,99.9,40.7,2.46,54,611.4,23,5A-1-B159,lateral,1.0,3.0,3.0,0,,0,14
5A-1-B158,5A-1,lateral,5,5,139.5,27.5,23,1,2,1,0,0.167,115.0,29.0,3.97,23,139.5,5,5A-1-B157,lateral,1.0,3.0,3.0,0,,0,15
5A-1-B159,5A-1,lateral,4,4,116.3,26.8,5,0,1,1,1,0.156,89.3,25.4,3.52,131,1215.6,49,5A-1-B167,lateral,1.0,2.0,2.0,0,,0,13
5A-1-B160,5A-1,lateral,2,2,41.7,20.8,0,0,1,1,1,0.021,22.9,18.7,1.22,72,487.8,22,5A-1-B159,lateral,1.0,1.0,1.0,0,,0,14
5A-1-B161,5A-1,lateral,8,8,167.2,21.1,18,1,2,1,0,0.306,116.1,35.8,3.24,23,209.9,10,5A-1-B160,lateral,1.0,5.0,5.0,0,,0,15
5A-1-B162,5A-1,lateral,1,1,27.2,27.2,2,0,1,1,1,0.0,,,,49,236.2,10,5A-1-B160,lateral,,,,0,,0,15
5A-1-B163,5A-1,lateral,2,2,42.7,21.3,5,0,2,2,0,0.043,22.1,20.7,1.07,4,22.1,1,5A-1-B161,lateral,1.0,1.0,1.0,0,,0,16
5A-1-B164,5A-1,lateral,1,1,20.9,20.9,2,0,1,1,1,0.0,,,,47,209.0,9,5A-1-B162,lateral,,,,0,,0,16
