ZONE2,plots,landuses,pkg,len_m,chambers,props_direct
5A-2-87,1,0,5A-2,28.0,1,0
5A-2-88,5,1,5A-2,49.5,2,2
5A-2-89,10,0,5A-2,316.4,14,4
5A-2-90,13,0,5A-2,102.9,4,6
5A-2-91,27,0,5A-2,203.9,8,14
5A-3-1,11,0,5A-3,154.4,5,34
5A-3-10,10,0,5A-3,63.2,2,2
5A-3-11,3,0,5A-3,81.8,3,18
5A-3-12,13,1,5A-3,311.7,11,18
5A-3-13,9,0,5A-3,81.7,3,9
5A-3-14,4,1,5A-3,56.8,2,10
5A-3-15,4,0,5A-3,31.9,1,3
5A-3-16,13,2,5A-3,356.7,12,12
5A-3-17,14,1,5A-3,243.7,10,15
5A-3-18,5,1,5A-3,68.5,3,5
5A-3-2,5,0,5A-3,49.7,2,1
5A-3-26,3,0,5A-3,27.2,1,4
5A-3-3,4,1,5A-3,76.5,3,0
5A-3-4,4,0,5A-3,66.3,2,6
5A-3-5,6,0,5A-3,135.2,6,11
5A-3-6,17,1,5A-3,185.2,8,2
5A-3-7,9,1,5A-3,125.7,4,9
5A-3-8,1,0,5A-3,41.8,2,5
5A-3-9,18,2,5A-3,198.9,7,25
5A-4-100,10,2,5A-4,205.2,8,10
5A-4-101,7,1,5A-4,43.6,2,4
5A-4-102,2,0,5A-4,60.2,2,6
5A-4-103,26,1,5A-4,417.3,16,22
5A-4-104,16,1,5A-4,175.0,7,17
5A-4-105,7,0,5A-4,127.7,5,11
5A-4-106,10,1,5A-4,153.7,7,8
5A-4-107,20,1,5A-4,277.4,12,23
5A-4-108,12,2,5A-4,148.0,6,11
5A-4-110,6,1,5A-4,71.5,3,5
5A-4-111,6,1,5A-4,98.0,4,0
5A-4-112,8,0,5A-4,128.9,6,11
5A-4-113,9,1,5A-4,126.3,5,19
5A-4-92,43,2,5A-4,623.2,20,97
5A-4-93,5,0,5A-4,92.0,3,5
5A-4-94,13,0,5A-4,123.8,4,12
5A-4-95,5,0,5A-4,102.1,3,11
5A-4-96,3,0,5A-4,119.9,4,4
5A-4-97,16,0,5A-4,259.5,9,7
5A-4-98,12,0,5A-4,142.2,4,8
5A-4-99,20,0,5A-4,318.8,12,15
5A-5-10,20,1,5A-5,196.2,6,31
5A-5-100,8,1,5A-5,157.5,5,5
5A-5-101,36,0,5A-5,402.6,13,31
5A-5-102,2,0,5A-5,28.6,1,2
5A-5-103,28,1,5A-5,390.8,14,17
5A-5-104,3,0,5A-5,30.8,1,0
5A-5-105,19,0,5A-5,210.4,7,10
5A-5-106,4,1,5A-5,26.7,1,2
5A-5-107,15,0,5A-5,201.0,6,10
5A-5-108,15,1,5A-5,186.8,7,11
5A-5-109,1,0,5A-5,15.3,1,3
5A-5-11,15,0,5A-5,276.1,8,6
5A-5-110,2,0,5A-5,20.1,1,3
5A-5-111,21,0,5A-5,188.5,6,15
5A-5-112,21,0,5A-5,227.1,8,11
5A-5-113,12,2,5A-5,253.3,8,23
5A-5-114,2,1,5A-5,260.0,7,32
5A-5-115,3,1,5A-5,114.6,3,0
5A-5-116,2,0,5A-5,21.3,1,1
5A-5-118,33,2,5A-5,337.2,11,12
5A-5-119,21,1,5A-5,185.8,6,10
5A-5-12,8,0,5A-5,168.7,6,6
5A-5-125,35,3,5A-5,628.4,22,29
5A-5-126,5,1,5A-5,27.2,1,0
