BR_ID,KM,PLOTS,PROPS,POP,Q_M3D,M_PER_PRP,M_PER_M3D,N_LIFT,LIFT_M,OUT_X,OUT_Y,OUT_Z,ROUTE_KM,VILLAGE
418,0.009,0,0.0,0,0.0,8924720015.5,8924720015.5,0,0.0,447327.2,2573085.4,379.5,30.33,-
802,0.009,1,0.0,0,0.0,9055385138.1,9055385138.1,0,0.0,456830.2,2568096.3,370.1,52.58,AL JUBAYYAH (P.A.)
1738,0.009,0,0.0,0,0.0,8544003745.3,8544003745.3,0,0.0,473172.5,2572123.8,495.7,98.66,-
1618,0.009,0,0.0,0,0.0,8524106669.8,8524106669.8,0,0.0,474265.4,2574722.8,493.0,90.36,-
465,0.009,0,0.0,0,0.0,8919750674.0,8919750674.0,0,0.0,447834.2,2571059.3,371.2,31.26,-
259,0.008,1,1.5,8,1.08,5.7,7.7,0,0.0,450189.4,2569445.9,361.8,22.97,AL MURTAFFA
1438,0.008,7,8.7,46,6.479,0.9,1.3,0,0.0,462619.8,2578822.2,428.2,78.62,-
761,0.008,1,1.5,8,1.08,5.5,7.5,0,0.0,456617.6,2567203.3,369.3,49.76,-
1458,0.008,0,0.0,0,0.0,7745000376.3,7745000376.3,0,0.0,462425.9,2578895.5,427.5,79.14,-
572,0.008,4,2.9,15,2.16,2.9,3.9,0,0.0,449712.3,2574313.9,384.5,35.5,AL-SAKBRI
921,0.008,0,0.0,0,0.0,8084506499.6,8084506499.6,0,0.0,453615.1,2577805.7,402.1,57.91,-
903,0.008,0,0.0,0,0.0,8207665896.8,8207665896.8,0,0.0,460624.4,2567465.2,383.5,57.02,-
1308,0.008,9,26.1,70,17.044,0.3,0.5,0,0.0,467393.0,2576138.6,450.7,76.39,AL WAHRAH
1361,0.008,0,0.0,0,0.0,7761140001.3,7761140001.3,0,0.0,464839.2,2578819.8,435.7,77.37,-
705,0.008,1,2.0,11,1.483,4.2,5.6,0,0.0,459040.1,2570096.1,380.8,44.53,AL TAYYEB
913,0.007,0,0.0,0,0.0,7071067811.9,7071067811.9,0,0.0,453685.7,2577671.4,401.2,57.67,-
810,0.007,0,0.0,0,0.0,6690267704.7,6690267704.7,0,0.0,456736.4,2568006.8,369.4,52.98,-
621,0.007,0,0.0,0,0.0,7280109889.3,7280109889.3,0,0.0,451679.2,2575797.3,389.9,37.45,-
287,0.007,0,0.0,0,0.0,7211102550.9,7211102550.9,0,0.0,444445.3,2569293.1,344.3,25.74,-
1300,0.007,0,0.0,0,0.0,7280109889.3,7280109889.3,0,0.0,465567.7,2566896.4,402.2,76.16,-
467,0.007,0,0.0,0,0.0,6781340920.7,6781340920.7,0,0.0,445493.6,2572926.2,389.3,31.31,-
129,0.007,1,1.5,8,1.08,4.6,6.2,0,0.0,448994.5,2570112.4,360.9,16.73,-
166,0.007,1,1.5,8,1.08,4.5,6.1,0,0.0,448486.5,2568848.3,353.1,13.56,-
1175,0.007,0,0.0,0,0.0,7280109889.3,7280109889.3,0,0.0,464895.7,2576549.6,440.0,74.19,-
97,0.006,0,0.0,0,0.0,6388091427.8,6388091427.8,0,0.0,449123.5,2567763.1,352.3,10.11,-
1102,0.006,2,2.9,15,2.16,2.1,2.8,0,0.0,465609.7,2567028.4,404.9,72.15,AL JUBAYYAH
477,0.006,0,0.0,0,0.0,6124559126.8,6124559126.8,0,0.0,449654.1,2572151.8,370.6,31.61,-
583,0.006,2,1.5,8,1.08,4.0,5.4,0,0.0,450198.2,2574752.3,388.4,36.02,-
800,0.006,1,0.0,0,0.0,6063320609.2,6063320609.2,0,0.0,452502.8,2574063.8,386.6,52.34,-
461,0.006,0,0.0,0,0.0,6000000000.0,6000000000.0,0,0.0,446768.2,2572718.9,379.9,31.13,-
525,0.006,6,2.9,15,2.16,1.9,2.6,0,0.0,452288.9,2567047.7,362.0,33.29,-
447,0.006,0,0.0,0,0.0,6007281535.5,6007281535.5,0,0.0,445937.9,2571513.8,387.5,30.83,-
1730,0.006,1,1.0,5,0.742,5.7,7.6,0,0.0,475398.6,2575922.8,506.0,98.06,BAT
1586,0.006,0,0.0,0,0.0,5870958436.1,5870958436.1,0,0.0,461544.9,2579582.0,432.4,87.52,-
659,0.006,0,0.0,0,0.0,5674175291.0,5674175291.0,0,0.0,447591.4,2570724.6,395.7,41.68,-
325,0.005,0,0.0,0,0.0,4967517134.3,4967517134.3,0,0.0,440593.5,2570440.9,346.7,27.82,-
448,0.005,0,0.0,0,0.0,4826762192.9,4826762192.9,0,0.0,446866.8,2571436.6,377.1,30.84,-
1600,0.005,0,0.0,0,0.0,5222755927.2,5222755927.2,0,0.0,473522.3,2574174.4,484.9,89.26,-
363,0.005,2,1.5,8,1.08,3.2,4.4,0,0.0,447417.2,2572498.2,375.6,29.06,-
616,0.005,2,1.5,8,1.08,3.3,4.4,0,0.0,456220.5,2568557.3,373.9,37.12,AL TAYYEB (P.A.)
1507,0.005,0,0.0,0,0.0,4765102602.5,4765102602.5,0,0.0,451601.5,2564382.4,349.0,81.81,-
225,0.004,0,0.0,0,0.0,4000000000.1,4000000000.1,0,0.0,440626.2,2570194.4,344.2,20.77,-
713,0.004,0,0.0,0,0.0,4123105625.6,4123105625.6,0,0.0,458455.8,2568684.9,378.0,45.43,-
331,0.004,2,3.5,18,2.563,1.2,1.6,0,0.0,450118.6,2569168.0,359.1,22.96,-
1292,0.004,0,0.0,0,0.0,4123105625.6,4123105625.6,0,0.0,465153.3,2575957.6,437.8,76.1,-
1579,0.004,0,0.0,0,0.0,4473641144.8,4473641144.8,0,0.0,461443.8,2579633.8,429.8,87.34,-
912,0.004,4,0.0,0,0.0,4000000000.2,4000000000.2,0,0.0,461169.2,2567308.7,385.5,57.59,-
592,0.004,1,0.0,0,0.0,3999999999.7,3999999999.7,0,0.0,454566.1,2569344.6,366.8,36.36,-
1033,0.003,1,1.5,8,1.08,2.0,2.6,0,0.0,456329.4,2576789.2,409.1,66.99,-
1608,0.003,0,0.0,0,0.0,2633051447.5,2633051447.5,0,0.0,473452.4,2573652.4,490.3,89.59,-
1679,0.003,4,0.0,0,0.0,3162277660.2,3162277660.2,0,0.0,473804.4,2572293.7,490.1,94.56,BAT
1670,0.003,0,0.0,0,0.0,3162277660.2,3162277660.2,0,0.0,473774.7,2574785.0,488.8,93.32,-
1542,0.003,4,5.8,31,4.319,0.5,0.7,0,0.0,470468.8,2574669.3,466.8,85.0,AL WAHRAH
175,0.003,1,1.0,0,0.564,3.0,5.4,0,0.0,451133.9,2567085.2,354.0,19.03,AL SULAIF
577,0.003,2,3.0,8,6.176,0.9,0.4,0,0.0,455116.6,2567618.1,365.1,35.72,AL TAYYEB
174,0.003,3,1.0,5,0.742,3.0,4.0,0,0.0,451109.5,2567110.1,353.6,19.0,-
964,0.003,1,1.5,8,1.08,1.7,2.3,0,0.0,454085.1,2577952.0,403.2,61.61,-
485,0.002,0,0.0,0,0.0,2235411787.3,2235411787.3,0,0.0,445493.0,2572754.4,388.1,31.95,-
1732,0.002,1,1.5,8,1.08,1.5,2.0,0,0.0,470231.5,2575085.9,463.7,93.1,-
1380,0.001,5,5.8,31,4.319,0.2,0.3,0,0.0,464071.3,2578219.9,437.6,77.68,-
