FEATUREID,PKG,TIER,props_up,len_up_m,qadf_m3d,pf,qpk_ls,od_built_mm,dn_our_rules,slope_built_pct,slope_req_pct,slope_ratio,dod_built,v_built_ms,surcharged,dod_limit,over_dod,under_self_cleansing,over_vmax,depth_ds_m
L011730,5A-5,lateral,8.0,204.5,7.0,3.57,0.29,160,200,0.507,0.5,1.01,0.113,0.259,0,0.65,0,1,0,4.129999999999995
L012745,5A-5,lateral,7.0,77.5,6.05,3.57,0.25,160,200,0.48,0.5,0.96,0.107,0.243,0,0.65,0,1,0,3.310000000000002
L012264,5A-5,lateral,7.0,169.0,6.12,3.57,0.25,160,200,0.527,0.5,1.05,0.106,0.252,0,0.65,0,1,0,4.04000000000002
L011681,5A-5,lateral,4.0,52.5,3.46,3.57,0.14,160,200,0.519,0.5,1.04,0.082,0.208,0,0.65,0,1,0,2.509999999999991
L012263,5A-5,lateral,6.0,136.7,5.24,3.57,0.22,160,200,0.485,0.5,0.97,0.1,0.233,0,0.65,0,1,0,2.939999999999998
L009488,5A-5,lateral,0.0,19.2,0.01,3.57,0.0,160,200,0.601,0.5,1.2,0.008,0.028,0,0.65,0,1,0,0.800000000000011
L011729,5A-5,lateral,3.0,105.8,2.65,3.57,0.11,160,200,0.499,0.5,1.0,0.073,0.188,0,0.65,0,1,0,2.090000000000032
L012262,5A-5,lateral,0.0,49.2,0.04,3.57,0.0,160,200,0.6,0.5,1.2,0.011,0.042,0,0.65,0,1,0,1.180000000000007
L011679,5A-5,lateral,3.0,30.6,2.59,3.57,0.11,160,200,1.014,0.5,2.03,0.061,0.238,0,0.65,0,1,0,1.28000000000003
L011680,5A-5,lateral,3.0,31.3,2.59,3.57,0.11,160,200,0.608,0.5,1.22,0.069,0.2,0,0.65,0,1,0,1.430000000000007
L012311,5A-5,lateral,16.0,275.8,13.9,3.57,0.57,160,200,0.617,0.5,1.23,0.149,0.345,0,0.65,0,1,0,2.450000000000045
L012312,5A-5,lateral,12.0,236.9,10.45,3.57,0.43,160,200,0.599,0.5,1.2,0.131,0.312,0,0.65,0,1,0,1.900000000000034
L012313,5A-5,lateral,9.0,196.8,7.85,3.57,0.32,160,200,0.586,0.5,1.17,0.116,0.283,0,0.65,0,1,0,1.629999999999995
L012314,5A-5,lateral,6.0,157.6,5.25,3.57,0.22,160,200,0.592,0.5,1.18,0.096,0.25,0,0.65,0,1,0,1.439999999999998
L012315,5A-5,lateral,5.0,128.8,4.38,3.57,0.18,160,200,0.61,0.5,1.22,0.087,0.238,0,0.65,0,1,0,1.649999999999977
