DEPTH_M,EXC_M,STATUS,MAXDEPTH_NOPS,recover_m,best_depth,q,diff
17.174,313.2,REBREACH,22.18,313.1927014650899,1.65,571.1897057639371,0.0
17.205,417.6,REBREACH,25.34,417.64129680846406,1.6,178.77378357553405,0.0
17.785,1444.4,CONVERGED,17.78,1444.3957919344066,-13.413368071374125,0.0,0.0
17.969,257.1,REBREACH,19.8,257.1298327778644,1.6,83.69820555469583,0.0
18.112,17.7,REBREACH,21.86,17.7304500948326,1.6,7.558468736,0.0
18.571,1011.8,REBREACH,19.46,1011.76629323834,1.6,127.40332205523656,0.0
18.669,64.1,REBREACH,19.64,64.05862520977654,1.6,76.90183079844363,0.0
18.79,4.0,REBREACH,18.81,3.999999999905047,1.6,40.485863936,0.0
18.911,683.5,REBREACH,35.1,683.5237310036781,1.6,0.0,0.0
18.972,149.4,REBREACH,19.67,149.39681162015964,1.8,1290.991746249604,0.0
19.143,213.2,REBREACH,20.8,213.24138013552192,1.6,0.0,0.0
19.531,25.7,REBREACH,22.45,25.73906693577122,1.6,12.619201727999998,0.0
20.178,4.0,REBREACH,20.21,3.999999999974941,1.6,214.5517168899785,0.0
20.355,24.5,REBREACH,20.68,24.465662228118298,1.6,133.5036978216488,0.0
20.367,671.0,REBREACH,25.15,670.9543857074518,1.6,238.4648395561828,0.0
20.399,13.4,REBREACH,20.4,13.41640786499874,1.6,25.075830863978,0.0
20.522,417.4,REBREACH,21.04,417.43690187549697,1.65,724.9838739666112,0.0
22.08,253.9,REBREACH,22.08,253.87015403775888,1.6,6.140514239999999,0.0
22.701,1150.8,REBREACH,22.7,1150.7596066528808,1.6,29.154093696,0.0
24.764,1006.1,REBREACH,28.82,1006.1072860558776,1.6,0.0,0.0
25.075,736.3,REBREACH,33.29,736.324622825827,1.6,73.66248705444363,0.0
25.862,159.9,REBREACH,26.27,159.89412191131396,1.6,6.917767054443639,0.0
30.241,306.8,REBREACH,30.86,306.8464755184786,1.715,818.5267370249805,0.0
31.057,344.2,REBREACH,31.28,344.2209138208263,1.6,0.0,0.0
32.949,605.6,REBREACH,35.18,605.6261402008774,1.6,168.98634450045822,0.0
37.379,34.3,REBREACH,38.51,34.25047721542767,1.6,0.0,0.0
41.241,4.0,REBREACH,41.41,4.000000000020781,1.6,0.0,0.0
57.093,80.3,REBREACH,58.28,80.34725868387177,1.6,9.80965337456447,0.0
