EDGE_UID,US_NODE,DS_NODE,TIER,LEN_M,SRC,CONFIDENCE,STAGE,QADF_M3D,N_PROP,QINF_LS,PF,PF_METH,QPK_LS,UPSTR_KM,ON_WADI_M,ON_DUAL_M,CROSS_ID,DN,MATERIAL,SLOPE_LAID,SLOPE_MIN,GRAD_BY,SIZED_BY,CLEAN_BY,TAU_PA,INV_UP,INV_DN,US_DEPTH,DS_DEPTH,COVER_US,COVER_DN,V_PK_MS,DOD_PK,RET_MIN,PAST_CAP,CAP_EXIT,CAP_LEN_M,TIE_TYPE,PACKAGE,PHASE
E0000046,N0000049,N0000050,trunk main,5.000000000033332,main_pipe,drafted,s5c_flows,738.8001,1095.736,0.08878,2.7489,merrimack,23.594163,10.6537,0.0,0.0,,250,PVC-U,0.8,0.375,table11,minimum,velocity,1.0,328.2401223786704,328.20012237867013,6.373586117423372,6.41810271898612,6.073586117423372,6.11810271898612,1.0633216656797329,0.5080920980397579,0.07837076589671262,0,,0.0,none,P04,1
E0000047,N0000050,N0000051,trunk main,79.99999999983692,main_pipe,drafted,s5c_flows,738.8001,1095.736,0.088822,2.7489,merrimack,23.594205,10.6587,0.0,0.0,,250,PVC-U,0.4,0.375,table11,minimum,velocity,1.0,328.20012237867013,327.88012237867076,6.41810271898612,6.246861263907363,6.11810271898612,5.946861263907363,0.8123837180421376,0.6334967954925488,1.6412605320844904,0,,0.0,none,P04,1
E0000048,N0000051,N0000052,trunk main,80.00000000008689,main_pipe,drafted,s5c_flows,738.8001,1095.736,0.089489,2.7489,merrimack,23.594871,10.7387,0.0,0.0,,250,PVC-U,0.4,0.375,table11,minimum,velocity,1.0,327.88012237867076,327.5601223786704,6.246861263907363,6.482663265860822,5.946861263907363,6.182663265860822,0.8123883701928579,0.633509043811576,1.6412511333935678,0,,0.0,none,P04,1
E0000049,N0000052,N0000053,trunk main,79.99999999993514,main_pipe,drafted,s5c_flows,738.8001,1095.736,0.090155,2.7489,merrimack,23.595538,10.8187,0.0,0.0,,250,PVC-U,0.4,0.375,table11,minimum,velocity,1.0,327.5601223786704,327.24012237867066,6.482663265860822,6.414449154532463,6.182663265860822,6.114449154532463,0.8123930290880981,0.6335213106286259,1.6412417211763914,0,,0.0,none,P04,1
E0000050,N0000053,N0000054,trunk main,79.99999999998425,main_pipe,drafted,s5c_flows,738.8001,1095.736,0.090822,2.7489,merrimack,23.596205,10.8987,0.0,0.0,,250,PVC-U,0.4,0.375,table11,minimum,velocity,1.0,327.24012237867066,326.9201223786707,6.414449154532463,5.647687679923024,6.114449154532463,5.347687679923024,0.8123976877424648,0.6335335775529318,1.6412323095579096,0,,0.0,none,P04,1
E0000051,N0000054,N0000055,trunk main,80.00000000008689,main_pipe,drafted,s5c_flows,738.8001,1095.736,0.091489,2.7489,merrimack,23.596871,10.9787,0.0,0.0,,250,PVC-U,0.4,0.375,table11,minimum,velocity,1.0,326.9201223786707,326.6001223786704,5.647687679923024,5.816137386954608,5.347687679923024,5.516137386954608,0.81240233917201,0.6335458261930829,1.6412229126441187,0,,0.0,none,P04,1
E0000052,N0000055,N0000045,trunk main,13.016193762541283,main_pipe,drafted,s5c_flows,738.8001,1095.736,0.092155,2.7489,merrimack,23.597538,11.0587,0.0,0.0,,250,PVC-U,0.4,0.375,table11,minimum,velocity,1.0,326.6001223786704,326.54805760362024,5.816137386954608,5.8933486463797635,5.516137386954608,5.593348646379764,0.8124069973449893,0.6335580933318048,0.26702941188097506,0,,0.0,none,P04,1
E0000053,N0000056,N0000057,trunk main,32.15033676762126,main_pipe,drafted,s5c_flows,325.9308,414.536,0.171387,3.035,merrimack,11.620433,20.5664,0.0,0.0,,200,PVC-U,0.5,0.5,table11,minimum,tractive,1.0,325.9891236978641,325.828372014026,12.579968099010898,12.992154109020873,12.329968099010898,12.742154109020873,0.7456321601337629,0.5472120226443753,0.7186371173031137,1,outfall_1000m,201.33,none,P01,1
E0000054,N0000057,N0000058,trunk main,22.849663232366904,main_pipe,drafted,s5c_flows,325.9308,414.536,0.171655,3.035,merrimack,11.620701,20.5985,0.0,0.0,,200,PVC-U,0.5,0.5,table11,minimum,tractive,1.0,325.828372014026,325.7141236978642,12.992154109020873,13.375353841198319,12.742154109020873,13.125353841198319,0.7456362427510126,0.5472197930028,0.510741965994559,1,outfall_1000m,201.33,none,P01,1
E0000055,N0000058,N0000059,trunk main,64.99999999997873,main_pipe,drafted,s5c_flows,325.9308,414.536,0.171845,3.035,merrimack,11.620891,20.6214,0.0,0.0,,200,PVC-U,0.5,0.5,table11,minimum,tractive,1.0,325.7141236978642,325.3891236978643,13.375353841198319,12.988805989635694,13.125353841198319,12.738805989635694,0.7456391370756016,0.5472253018348545,1.4528922631151238,1,outfall_1000m,201.33,none,P01,1
