Pipe,US manhole,DS manhole,US invert (m),DS invert (m),US depth (m),DS depth (m),Length (m),DN (mm),Material,Laid gradient (%),Minimum gradient (%),Gradient set by,Diameter set by,Peak factor,PF method,Qadf (m3/d),Qpeak (L/s),Velocity (m/s),d/D,Self-cleansing by,Tier,Package,Confidence
E0033803,N0034050,N0034051,364.598742,364.268742,4.852369,5.060085,60.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,63.3689,2.6705,0.51511,0.241603,tractive,main,P452,drafted
E0033804,N0034051,N0034052,364.268742,364.167459,5.060085,5.142142,18.415066,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,63.3689,2.671,0.515139,0.241625,tractive,main,P452,drafted
E0033805,N0034052,N0034053,364.167459,363.892459,5.142142,5.348294,50.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,63.3689,2.671153,0.515148,0.241632,tractive,main,P452,drafted
E0033806,N0034053,N0034054,363.892459,363.617459,5.348294,5.315036,50.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,63.3689,2.67157,0.515171,0.241651,tractive,main,P452,drafted
E0033807,N0034054,N0034055,363.617459,363.573911,5.315036,5.302767,7.917817,200,PVC-U,0.55,0.5,table11,minimum,3.6221,held,64.4487,2.717254,0.51776,0.243702,tractive,main,P452,drafted
E0033808,N0034055,N0034056,363.573911,363.186958,5.302767,5.357719,70.355055,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,65.5285,2.762587,0.520297,0.245722,tractive,main,P452,drafted
E0033809,N0034056,N0034057,363.186958,362.801958,5.357719,5.558393,70.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,66.6083,2.808441,0.52283,0.247751,tractive,main,P452,drafted
E0033810,N0034057,N0034058,362.801958,362.416958,5.558393,5.905582,70.0,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,66.6083,2.809024,0.522862,0.247776,tractive,main,P452,drafted
E0033811,N0034058,N0034059,362.416958,362.353034,5.905582,5.973901,11.622583,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,66.6083,2.809607,0.522894,0.247802,tractive,main,P452,drafted
E0033812,N0034059,N0034060,362.353034,361.848614,5.973901,6.220142,91.712785,200,PVC-U,0.55,0.5,uniform,minimum,3.6221,held,66.6083,2.809704,0.5229,0.247806,tractive,main,P452,drafted
E0033813,N0034060,N0034061,361.848614,361.80758,6.220142,6.264899,5.471134,200,PVC-U,0.75,0.5,table11,minimum,3.6221,held,66.6083,2.810468,0.583925,0.229254,tractive,main,P452,drafted
E0033814,N0034061,N0034062,361.80758,361.753669,6.264899,6.356011,10.782182,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,66.6083,2.810514,0.505466,0.253891,tractive,main,P452,drafted
E0033815,N0034062,N0034063,361.753669,361.691081,6.356011,6.482686,12.517627,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,66.6083,2.810604,0.505471,0.253895,tractive,main,P452,drafted
E0033816,N0034063,N0034064,361.691081,361.591883,6.482686,6.711706,19.839625,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,66.6083,2.810708,0.505476,0.2539,tractive,main,P452,drafted
E0033817,N0034064,N0034065,361.591883,361.411471,6.711706,7.008665,36.082445,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,67.3499,2.841964,0.507123,0.255312,tractive,main,P452,drafted
E0033818,N0034065,N0034066,361.411471,361.303406,7.008665,7.165711,21.613034,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,67.3499,2.842264,0.507138,0.255325,tractive,main,P452,drafted
E0033819,N0034066,N0033590,361.303406,361.035559,7.165711,7.68609,53.56937,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,67.3499,2.842444,0.507148,0.255333,tractive,main,P452,drafted
E0033820,N0034067,N0034068,383.522986,383.314945,1.555841,1.559964,16.643317,200,PVC-U,1.25,0.5,cover_min,minimum,3.6221,held,0.0,0.0,0.0,0.0,tractive,lateral,P398,provisional
E0033821,N0034068,N0033618,383.314945,383.113698,1.559964,1.551005,20.124612,200,PVC-U,1.0,0.5,ground,minimum,3.6221,held,0.0,0.000139,0.016151,0.003216,tractive,lateral,P398,provisional
E0033822,N0034069,N0033618,383.075488,382.921459,1.55,1.743244,30.805844,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,4.3191,0.181069,0.214701,0.06928,tractive,lateral,P398,provisional
E0033823,N0034070,N0034071,375.983543,375.941543,4.850899,5.010391,6.0,200,PVC-U,0.7,0.5,table11,minimum,3.2167,merrimack,201.5583,7.5274,0.755721,0.387456,velocity,main,P398,provisional
E0033824,N0034071,N0034072,375.941543,375.82974,5.010391,5.22568,22.36068,200,PVC-U,0.5,0.5,table11,minimum,3.2167,merrimack,201.5583,7.52745,0.667738,0.425176,tractive,main,P398,provisional
E0033825,N0034072,N0034073,375.82974,375.692172,5.22568,5.549924,27.513633,200,PVC-U,0.5,0.5,table11,minimum,3.2146,merrimack,202.6381,7.562962,0.668577,0.426289,tractive,main,P398,provisional
E0033826,N0034073,N0034074,375.692172,375.584005,5.549924,5.808451,21.633308,200,PVC-U,0.5,0.5,table11,minimum,3.2098,merrimack,205.2011,7.646949,0.670546,0.428913,tractive,main,P398,provisional
E0033827,N0034074,N0033625,375.584005,375.476651,5.808451,6.08945,21.470911,200,PVC-U,0.5,0.5,table11,minimum,3.2077,merrimack,206.2809,7.682378,0.671371,0.430018,tractive,main,P398,provisional
E0033828,N0034075,N0033638,368.790141,368.664841,1.993581,2.326858,25.059928,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,5.3989,0.227321,0.231243,0.076855,tractive,lateral,P403,provisional
E0033829,N0034076,N0034077,373.158763,372.694948,2.379292,2.640868,92.763139,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,3.2393,0.136402,0.195595,0.060928,tractive,lateral,P450,provisional
E0033830,N0034077,N0033642,372.694948,372.236554,2.640868,3.339099,91.678787,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,7.5585,0.318243,0.257815,0.089695,tractive,lateral,P450,provisional
E0033831,N0034078,N0033642,374.006091,373.956091,1.55,1.619562,10.0,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,0.0,0.0,0.0,0.0,tractive,lateral,P450,provisional
E0033832,N0034079,N0034080,369.058631,368.997804,1.550103,1.698821,12.165525,200,PVC-U,0.5,0.5,cover_min,minimum,3.6221,held,1.0798,0.045267,0.134896,0.037231,tractive,lateral,P403,provisional
E0033833,N0034080,N0034081,368.997804,368.934164,1.698821,1.760996,12.727922,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,1.0798,0.045369,0.135001,0.037268,tractive,lateral,P403,provisional
E0033834,N0034081,N0034082,368.934164,368.547221,1.760996,2.562154,77.38863,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,2.1596,0.090742,0.170784,0.050718,tractive,lateral,P403,provisional
E0033835,N0034082,N0034083,368.547221,368.504794,2.562154,2.611447,7.071068,200,PVC-U,0.6,0.5,table11,minimum,3.6221,held,2.9012,0.122477,0.200935,0.055637,tractive,lateral,P403,provisional
E0033836,N0034083,N0033638,368.504794,368.311598,2.611447,2.680102,38.639358,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,2.9012,0.122536,0.188773,0.058049,tractive,lateral,P403,provisional
E0033837,N0034084,N0033655,368.455821,368.334887,6.273519,6.179456,24.186773,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,5.3989,0.228891,0.231761,0.077097,tractive,main,P450,provisional
E0033838,N0034085,N0034086,371.198306,369.880806,1.822172,1.837364,85.0,200,PVC-U,1.55,0.5,cover_min,minimum,3.6221,held,2.1596,0.090534,0.250844,0.039098,tractive,lateral,P450,provisional
E0033839,N0034086,N0034087,369.880806,369.816971,1.837364,2.097275,12.76699,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,7.5585,0.317579,0.257642,0.089609,tractive,lateral,P450,provisional
E0033840,N0034087,N0034088,369.816971,369.430806,2.097275,4.875011,77.23301,200,PVC-U,0.5,0.5,table11,minimum,3.6221,held,11.8776,0.498754,0.297566,0.110477,tractive,lateral,P450,provisional
