Pipe,US manhole,DS manhole,US invert (m),DS invert (m),US depth (m),DS depth (m),Length (m),DN (mm),Material,Laid gradient (%),Minimum gradient (%),Gradient set by,Diameter set by,Peak factor,PF method,Qadf (m3/d),Qpeak (L/s),Velocity (m/s),d/D,Self-cleansing by,Tier,Package,Confidence
E0000618,N0000354,N0000356,384.5964807128911,384.29648071289114,11.492783203124532,11.437192382811986,99.99999999999281,315,GRP,0.3,0.27,table11,dod,2.667966185045456,merrimack,945.6890766507602,29.423313323048696,0.7741714061451618,0.5397483347560126,velocity,trunk main,,drafted
E0000619,N0000360,N0000362,396.43754150390623,395.7875415039074,1.7300000000000182,1.7855786132801086,99.99999999981887,315,GRP,0.65,0.27,ground,dod,2.658425201122447,merrimack,974.1074131089371,30.20040546072411,1.0433090022371259,0.43646352384544407,velocity,trunk main,,drafted
E0000620,N0000362,N0000364,395.7431201171875,395.2431201171871,1.829999999999984,1.718153076172257,100.00000000008457,315,GRP,0.5,0.27,cover_min,dod,2.6571136150345724,merrimack,978.088364852937,30.309411234745752,0.946774044659957,0.4715089617419286,velocity,trunk main,,drafted
E0000621,N0000364,N0000366,395.2612731933594,394.31127319335866,1.6999999999999886,2.1322387695319662,100.00000000007896,250,PVC-U,0.95,0.375,ground,capacity,2.6550596155513606,merrimack,984.359402100937,30.48053696704003,1.20719830525569,0.5635321601602155,velocity,trunk main,,drafted
E0000622,N0000366,N0000368,394.24627319335866,393.6462731933594,2.197238769531964,2.2044348144531227,99.9999999998839,315,GRP,0.6,0.27,cover_min,dod,2.6536110659394465,merrimack,988.809050100937,30.602122931781228,1.016141154034185,0.44985374446358717,velocity,trunk main,,drafted
E0000623,N0000368,N0000370,393.6462731933594,393.0462731933592,2.2044348144531227,2.462210693359566,100.00000000003487,315,GRP,0.6,0.27,cover_min,dod,2.648146005113791,merrimack,1005.800772596937,31.063471347267306,1.0200656811506714,0.4536990630772191,velocity,trunk main,,drafted
E0000624,N0000370,N0000372,393.0462731933592,392.74627319335946,2.462210693359566,2.370639648437418,99.99999999991418,315,GRP,0.3,0.27,table11,dod,2.645920620699403,merrimack,1012.813417844937,31.254089812860705,0.7851589761692365,0.5603306406321458,velocity,trunk main,,drafted
E0000625,N0000372,N0000374,392.74627319335946,392.44627319335916,2.370639648437418,2.1015783691408387,100.00000000010402,315,GRP,0.3,0.27,table11,dod,2.640514688835899,merrimack,1030.078052084937,31.721489212770976,0.7878370543508973,0.5655827527438908,velocity,trunk main,,drafted
E0000626,N0000374,N0000376,392.51127319335916,391.7112731933592,2.036578369140841,1.9290771484376705,99.99999999999253,250,PVC-U,0.8,0.375,cover_min,capacity,2.636567303144481,merrimack,1042.8930383249372,32.068030426972896,1.1414114126782404,0.6158121176973734,velocity,trunk main,,drafted
E0000627,N0000376,N0000378,391.7112731933592,390.61127319335986,1.9290771484376705,2.748254394530761,99.99999999994026,250,PVC-U,1.0999999999999999,0.375,cover_min,capacity,2.634387004014147,merrimack,1050.047826003468,32.26165456257778,1.294410999108844,0.5576150037394596,velocity,trunk main,,drafted
E0000628,N0000378,N0000380,390.54627319335987,390.2462731933598,2.813254394530759,2.100131835937077,100.00000000001856,315,GRP,0.3,0.27,table11,dod,2.630141444818905,merrimack,1064.1383435320886,32.64170569644354,0.7929633622438913,0.5759286313641985,velocity,trunk main,,drafted
E0000629,N0000380,N0000382,390.2462731933598,389.89627319335983,2.100131835937077,1.719663085937043,99.99999999998225,315,GRP,0.35000000000000003,0.27,cover_min,dod,2.6282915526782133,merrimack,1070.3441192760886,32.80936279296997,0.8428410422862183,0.5502686083048043,velocity,trunk main,,drafted
E0000630,N0000382,N0000384,389.9159362792969,388.76593627929685,1.6999999999999886,2.0621582031250227,100.00000000000352,250,PVC-U,1.15,0.375,ground,capacity,2.624864335134483,merrimack,1081.9488012600887,33.12184157295817,1.3248602679044965,0.5590052270853592,velocity,trunk main,,drafted
E0000631,N0000384,N0000386,388.70093627929685,388.40093627929684,2.1271582031250205,2.244998779296907,100.00000000001089,315,GRP,0.3,0.27,table11,dod,2.6218242159296135,merrimack,1092.3608954782655,33.40195077219757,0.7970547733132225,0.5844873520560807,velocity,trunk main,,drafted
E0000632,N0000386,N0000388,388.40093627929684,388.1009362792968,2.244998779296907,2.526077880859475,100.00000000003169,315,GRP,0.3,0.27,table11,dod,2.611682389909485,merrimack,1127.9165494302656,34.35407284811107,0.8019988740360611,0.5952301464840712,velocity,trunk main,,drafted
E0000633,N0000388,N0000390,388.1009362792968,387.8009362792968,2.526077880859475,3.5335668945313046,99.99999999998006,315,GRP,0.3,0.27,table11,capacity,2.587429109124902,merrimack,1218.3266765497794,36.75787104322075,0.8136099730129059,0.6225483377309591,velocity,trunk main,,drafted
E0000634,N0000390,N0000392,387.71593627929684,387.4659362792969,3.618566894531284,2.5095275878906023,99.99999999998006,400,GRP,0.25,0.20500000000000002,table11,dod,2.5597925600625886,merrimack,1331.3940865405918,39.73395852774172,0.7766437561206505,0.4267954931843777,velocity,trunk main,,drafted
E0000635,N0000392,N0000394,387.4659362792969,387.0459362792969,2.5095275878906023,2.225059814453118,120.00000000001117,400,GRP,0.35000000000000003,0.20500000000000002,cover_min,dod,2.523004955050052,merrimack,1500.5917899522,44.13129623399267,0.9046059869123989,0.4117474083310503,velocity,trunk main,,drafted
E0000636,N0000394,N0000396,387.0459362792969,386.74593627929687,2.225059814453118,2.6235705566406295,120.00000000001027,400,GRP,0.25,0.20500000000000002,table11,dod,2.4801299813986413,merrimack,1728.94200559095,49.97294778782884,0.8234024236665285,0.48661678951960985,velocity,trunk main,,drafted
E0000637,N0000396,N0000398,386.64593627929685,386.40593627929684,2.7235705566406523,3.0482263183594114,120.00000000001027,500,GRP,0.2,0.155,table11,dod,2.4398227413821414,merrimack,1979.6650990041435,56.28090150252772,0.7753438429097839,0.3969192430712811,velocity,trunk main,,drafted
E0000638,N0000398,N0000400,386.40593627929684,386.16593627929694,3.0482263183594114,2.299761962890557,119.99999999995207,500,GRP,0.2,0.155,table11,dod,2.3939578075238495,merrimack,2315.8244605845152,64.59010305650344,0.8038265215321314,0.4284693132648447,velocity,trunk main,,drafted
E0000639,N0000400,N0000402,386.26593627929697,385.4859362792969,2.199761962890534,2.1467846679687455,120.00000000001249,400,GRP,0.65,0.20500000000000002,cover_min,dod,2.3725410239141955,merrimack,2494.364185605432,68.94356970160204,1.2789997240580278,0.44408596079228024,velocity,trunk main,,drafted
E0000640,N0000402,N0000404,385.4859362792969,384.7659362792968,2.1467846679687455,3.1591735839844546,120.00000000001027,400,GRP,0.6,0.20500000000000002,cover_min,capacity,2.3683202758191575,merrimack,2531.341566646564,69.8412408949167,1.2453957079029296,0.45774781504136464,velocity,trunk main,,drafted
E0000641,N0000404,N0000406,384.6659362792968,384.42593627929676,3.2591735839844773,2.0808386230469864,119.99999999999736,500,GRP,0.2,0.155,table11,dod,2.3676186993956265,merrimack,2537.547342390564,69.99257084242954,0.8206050686092345,0.44838452209089796,velocity,trunk main,,drafted
E0000642,N0000406,N0000408,384.61093627929677,382.9998417434658,1.8958386230469841,2.195104545596678,87.08619112599797,315,GRP,1.8499999999999999,0.27,cover_min,dod,2.367200414767163,merrimack,2541.255382390564,70.08337402284606,1.9101365503617922,0.5247445780538389,velocity,trunk main,,drafted
E0000643,N0000408,N0000410,382.7148417434658,382.5648417434658,2.480104545596703,2.26084185028418,99.99999999998612,600,GRP,0.15,0.125,table11,dod,2.269789399238744,merrimack,3596.4194299438996,95.07964925791042,0.7922058949409131,0.4405491850080697,velocity,trunk main,,drafted
E0000644,N0000410,N0000412,382.5648417434658,382.3848417434658,2.26084185028418,2.311172660831062,120.00000000000696,600,GRP,0.15,0.125,table11,dod,2.2696245373604627,merrimack,3598.5789924398996,95.13063738505409,0.7923127306346829,0.44068100203984706,velocity,trunk main,,drafted
E0000645,N0000412,N0000414,382.29601440429684,382.1160144042968,2.400000000000034,3.1546459960938478,120.00000000003885,600,GRP,0.15,0.125,table11,dod,2.2694855779582266,merrimack,3600.4003816878994,95.173935453974,0.792404918358792,0.44079478419757456,velocity,trunk main,,drafted
E0000646,N0000414,N0000416,382.1160144042968,381.9360144042969,3.1546459960938478,3.599385986328116,119.99999999994752,600,GRP,0.15,0.125,table11,dod,2.2678952091567073,merrimack,3621.3196601518994,95.66055903870739,0.7934383196905169,0.44207268544394696,velocity,trunk main,,drafted
