PLOT_ID,X,Y,REACH,STATION_M,SHORT_BY_M,CH_REQ,ISSUE
1111629,460299.9739907789,2568760.978364122,E0026911,21.16,16.06,R00324,beyond the 45 m tertiary run
1111635,460475.3247676357,2568682.935664289,E0027566,10.0,8.65,R00338,beyond the 45 m tertiary run
1111755,460274.2159762008,2569096.9765397264,E0029852,41.96,35.63,R00379,beyond the 45 m tertiary run
1111769,460155.1482752517,2569269.6460865247,E0029271,12.9,2.19,R00368,beyond the 45 m tertiary run
1111821,459667.62016660185,2568506.28532611,E0026285,19.82,16.68,R00301,beyond the 45 m tertiary run
1111857,459946.64364761685,2568234.4734977037,E0026325,75.05,4.76,R00305,beyond the 45 m tertiary run
1111859,459909.5142105815,2568249.354461707,E0026326,35.06,34.81,R00306,beyond the 45 m tertiary run
1111860,459890.94944898254,2568256.794960975,E0026326,55.06,24.67,R00307,beyond the 45 m tertiary run
1111999,460483.71032393316,2569331.310066247,E0030966,10.09,8.38,R00410,beyond the 45 m tertiary run
1112150,459417.8452720027,2569652.6066784607,E0028674,38.15,2.85,R00361,beyond the 45 m tertiary run
1112204,459306.29186242446,2569848.4512155973,E0028688,29.95,24.18,R00364,beyond the 45 m tertiary run
1112205,459286.41050278203,2569850.6227393486,E0028688,9.95,4.31,R00363,beyond the 45 m tertiary run
1112272,455203.6261345656,2567720.7964085876,E0020203,48.35,24.37,R00192,beyond the 45 m tertiary run
1112285,460455.01906611485,2571519.9568240843,E0036741,31.99,21.56,R00526,beyond the 45 m tertiary run
1112286,460443.8178227555,2571502.1934567443,E0036741,10.99,4.6,R00525,beyond the 45 m tertiary run
1112365,460792.7418822364,2571109.6298529166,E0035571,37.89,33.26,R00496,beyond the 45 m tertiary run
1112453,457750.62149898853,2570479.316562023,E0023476,65.81,12.14,R00263,beyond the 45 m tertiary run
1112890,460056.68501336384,2571430.3931173035,E0033291,36.14,0.35,R00449,beyond the 45 m tertiary run
1112891,460040.55769048765,2571498.144552802,E0033315,51.64,34.94,R00450,beyond the 45 m tertiary run
1112967,460076.5968368665,2570863.1574936113,E0034109,9.18,7.27,R00463,beyond the 45 m tertiary run
1113010,460444.4364529627,2570660.832574957,E0032112,37.8,36.78,R00432,beyond the 45 m tertiary run
1113011,460364.49615320284,2570774.6547000483,E0032117,63.79,5.65,R00433,beyond the 45 m tertiary run
1113200,461072.96256048855,2570296.9901934685,E0033287,60.24,17.79,R00447,beyond the 45 m tertiary run
1113203,461038.62736013514,2570247.784751269,E0033288,40.24,37.77,R00448,beyond the 45 m tertiary run
1113226,460908.67715714383,2570281.6118392246,E0033249,38.45,37.55,R00443,beyond the 45 m tertiary run
1113308,461142.5180801077,2571011.5426897313,E0036731,21.06,17.43,R00524,beyond the 45 m tertiary run
1113331,461253.66518350143,2570877.6797778765,E0035593,42.16,8.06,R00498,beyond the 45 m tertiary run
1113489,461327.59774534433,2570070.9059584322,E0034177,24.91,23.7,R00464,beyond the 45 m tertiary run
1113502,461561.3516428825,2570100.0257117646,E0034587,34.64,0.93,R00480,beyond the 45 m tertiary run
