NODE,BREACH,HOPS_UP,STEPPED_OFF_DROP,COVER_M,BREACH_COVER_M,ON_UPHILL,UPHILL_M,UPHILL_RISE_M,GRD_M,SUBNET
N0038186,N0038187,1,0,6.497599799843783,12.164699979531292,0,0.0,0.0,381.7088623046875,S001
N0040008,N0040009,1,0,9.243315895437718,14.95559273528147,0,0.0,0.0,373.6512145996094,S014
N0005867,N0040111,1,0,2.9449885105626663,14.994937025328284,1,57.125402,17.874481201171875,372.76953125,S010
N0007613,N0040152,1,0,11.379930912343696,12.174927945624972,1,76.619802,1.30804443359375,382.380615234375,S014
N0007497,N0040154,1,0,6.434196645109353,13.290395166593726,0,0.0,0.0,382.0934143066406,S014
N0040173,N0040174,1,0,9.99061600435931,17.182668102015555,0,0.0,0.0,371.8636474609375,S014
N0040180,N0040181,1,0,9.954577494515547,16.701895439828036,0,0.0,0.0,377.1560974121094,S014
N0040222,N0040223,1,0,7.773306521453151,14.501738859343789,1,26.366244,0.136871337890625,368.1071472167969,S014
N0040228,N0040229,1,0,11.68545529510942,17.722274386906292,1,23.03900000000001,0.277069091796875,367.7015075683594,S014
N0040905,N0040906,1,0,11.834341307859574,12.10653805004705,1,146.177309,2.213287353515625,434.360107421875,S017
N0041381,N0041382,1,0,11.463828600437694,15.689531350437676,0,0.0,0.0,418.4417724609375,S018
N0041383,N0041384,1,0,9.264982974921963,16.54309608039074,0,0.0,0.0,421.6177673339844,S018
N0007560,N0041417,1,0,10.96077623326562,17.615166061390596,0,0.0,0.0,422.0139465332031,S018
N0041420,N0041421,1,0,6.793755685546898,12.312382947265633,1,43.628023,0.118804931640625,421.4389343261719,S018
N0007112,N0041496,1,0,11.962507156093864,12.012836255859497,0,0.0,0.0,409.57073974609375,S019
N0041687,N0041688,1,0,7.14534569337502,12.657256494156286,0,0.0,0.0,389.1837158203125,S022
N0041836,N0041837,1,0,7.350425464218802,14.141412130234414,0,0.0,0.0,379.3717041015625,S001
N0002103,N0043294,1,0,11.11711051049997,12.36398886956249,1,55.929078,2.3525390625,316.8165588378906,S004
N0001188,N0043380,1,0,9.760166957031288,16.523749304687556,1,49.350359,0.92919921875,334.9864807128906,S004
N0043441,N0043442,1,0,11.621317329765475,12.097116840234207,1,536.374157,9.11114501953125,315.1744384765625,S004
N0043542,N0043543,1,0,11.82620695756259,12.04920679896884,1,202.055737,3.158660888671875,331.0079345703125,S009
N0043860,N0043861,1,0,7.0068077756405955,13.397754629156225,0,0.0,0.0,346.18902587890625,S003
N0043907,N0043908,1,0,11.82366958882784,12.306458148984063,1,89.245889,0.6829833984375,337.289794921875,S003
