fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st
27951,CRT Time of Use,56.5,23.2,56.455088,23.222072,CRT Time of Use,Residential-Commercial,2,EXisting
27952,CRT Time of Use,56.5,23.2,56.455055,23.222034,CRT Time of Use,Residential-Commercial,2,EXisting
27953,CRT Time of Use,56.5,23.2,56.49578,23.225486,CRT Time of Use,Residential,99,EXisting
27954,CRT Time of Use,56.5,23.2,56.485362,23.218513,Primary Account Tariff,Residential,1,EXisting
27955,CRT Time of Use,56.5,23.2,56.515309,23.231911,Government,Agricultural,4,EXisting
27956,CRT Time of Use,56.5,23.2,56.496835,23.233947,Commercial,Residential,99,EXisting
27957,CRT Time of Use,56.4,23.2,56.426098,23.230933,Government,Residential,99,EXisting
27958,CRT Time of Use,56.4,23.2,56.426181,23.231045,Government,Residential,99,EXisting
27959,CRT Time of Use,56.4,23.2,56.426303,23.231182,Government,Residential,99,EXisting
27960,CRT Time of Use,56.4,23.2,56.426223,23.231088,Government,Residential,99,EXisting
27961,CRT Time of Use,56.4,23.2,56.426262,23.231141,Government,Residential,99,EXisting
27962,CRT Time of Use,56.5,23.2,56.454179,23.219533,CRT Time of Use,Residential-Commercial,2,EXisting
27963,CRT Time of Use,56.5,23.2,56.458492,23.218863,Commercial,Agricultural,4,EXisting
27964,CRT Time of Use,56.5,23.2,56.45416,23.21955,CRT Time of Use,Residential-Commercial,2,EXisting
27965,CRT Time of Use,56.5,23.2,56.454869,23.221899,CRT Time of Use,Residential-Commercial,2,EXisting
27966,CRT Time of Use,56.5,23.2,56.454902,23.221894,CRT Time of Use,Residential-Commercial,2,EXisting
27967,CRT Fixed Rate,56.5,23.3,56.521828,23.258943,Government,Commercial,3,EXisting
27968,CRT Fixed Rate,56.5,23.3,56.521828,23.258943,Government,Commercial,3,EXisting
27969,CRT Fixed Rate,56.5,23.3,56.521828,23.258943,Government,Commercial,3,EXisting
27970,CRT Fixed Rate,56.5,23.3,56.521828,23.258943,Government,Commercial,3,EXisting
27971,CRT Time of Use,56.5,23.2,56.458451,23.218902,Commercial,Agricultural,4,EXisting
27972,CRT Time of Use,56.5,23.2,56.488721,23.214578,Commercial,Residential,1,EXisting
27973,CRT Time of Use,56.5,23.2,56.502097,23.219311,Commercial,Residential-Commercial,2,EXisting
27974,CRT Time of Use,56.5,23.2,56.502179,23.219306,Commercial,Residential-Commercial,2,EXisting
27975,CRT Time of Use,56.5,23.2,56.502345,23.218806,Commercial,Residential-Commercial,2,EXisting
27976,CRT Time of Use,56.5,23.2,56.502356,23.218837,Commercial,Residential-Commercial,2,EXisting
27977,CRT Time of Use,56.4,23.2,56.426142,23.230995,Government,Residential,99,EXisting
27978,CRT Time of Use,56.5,23.2,56.45745,23.219034,CRT Time of Use,Agricultural,4,EXisting
27979,CRT Time of Use,56.4,23.2,56.447115,23.220633,CRT Time of Use,Residential,0,EXisting
27980,CRT Time of Use,56.4,23.2,56.421335,23.242747,Commercial,Residential,0,EXisting
27981,CRT Time of Use,56.4,23.2,56.421316,23.242734,Commercial,Residential,0,EXisting
27982,CRT Time of Use,56.4,23.2,56.421307,23.245307,Commercial,Residential,0,EXisting
27983,CRT Time of Use,56.4,23.2,56.421307,23.245307,Commercial,Residential,0,EXisting
27984,CRT Time of Use,56.4,23.2,56.421298,23.242723,Commercial,Residential,0,EXisting
27985,CRT Time of Use,56.4,23.2,56.421278,23.242713,Commercial,Residential,0,EXisting
27986,CRT Time of Use,56.4,23.2,56.421257,23.2427,Commercial,Residential,0,EXisting
27987,CRT Time of Use,56.5,23.2,56.465937,23.159445,CRT Time of Use,Industrial,7,EXisting
27988,CRT Time of Use,56.5,23.3,56.53875,23.267538,Commercial,Residential-Commercial,2,EXisting
27989,CRT Time of Use,56.5,23.3,56.538718,23.267576,Commercial,Residential-Commercial,2,EXisting
27990,CRT Time of Use,56.5,23.2,56.489183,23.217861,CRT Time of Use,Residential,0,EXisting
27991,CRT Seasonal,56.5,23.2,56.48042,23.217792,CRT Seasonal,Residential-Commercial,2,EXisting
27992,CRT Time of Use,56.5,23.2,56.48917,23.217861,CRT Time of Use,Residential,0,EXisting
27993,CRT Time of Use,56.5,23.2,56.481895,23.217102,Primary Account Tariff,Residential-Commercial,2,EXisting
27994,CRT Time of Use,56.7,23.2,56.704531,23.18571,CRT Time of Use,Residential,0,EXisting
27995,CRT Time of Use,56.5,23.2,56.48201,23.217419,CRT Time of Use,Residential-Commercial,2,EXisting
27996,CRT Time of Use,56.5,23.2,56.458557,23.216455,CRT Seasonal,Residential,0,EXisting
27997,CRT Seasonal,56.5,23.2,56.458458,23.216326,CRT Seasonal,Residential,0,EXisting
28340,CRT Seasonal,56.5,23.2,56.513052,23.21727,Additional Account Tariff,Residential-Commercial,2,EXisting
29006,CRT Time of Use,56.5,23.3,56.53198,23.264294,Commercial,Residential,0,EXisting
