kind,key,lat,lon,name,category,type,display,suburb,road
pt,17506,23.207942,56.479823,مدرسة خضراء عبري للتعليم الأساسي,amenity,school,"مدرسة خضراء عبري للتعليم الأساسي, Ibri - Rub' al Khali Road, Mazra bin Khater, Ibri Province, Ad Dhahirah Governorate, Oman",Mazra bin Khater,Ibri - Rub' al Khali Road
pt,19215,23.236524,56.483494,,highway,tertiary,"صناعية عبري, Al Orobah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Orobah,
pt,20519,23.222144,56.516351,,highway,tertiary,"AL Murtafa, Ibri Province, Ad Dhahirah Governorate, Oman",AL Murtafa,
pt,22436,23.21539,56.517806,,highway,residential,"Hellat As'sad, Ibri Province, Ad Dhahirah Governorate, Oman",Hellat As'sad,
pt,22668,23.208949,56.511162,,highway,unclassified,"Hellat As'sad, Ibri Province, Ad Dhahirah Governorate, Oman",Hellat As'sad,
pt,22903,23.275099,56.377092,Ibri Police Headquarters,amenity,police,"Ibri Police Headquarters, N2, سيح المسرات, Ibri Province, Ad Dhahirah Governorate, Oman",سيح المسرات,N2
pt,22982,23.255133,56.753223,,highway,tertiary,"Bat, Ibri Province, Ad Dhahirah Governorate, Oman",Bat,
pt,22995,23.198915,56.466715,,highway,residential,"Hellat Al Nahadah, Ibri Province, Ad Dhahirah Governorate, Oman",Hellat Al Nahadah,
pt,23039,23.272447,56.388551,,highway,unclassified,"سيح المسرات, Ibri Province, Ad Dhahirah Governorate, Oman",سيح المسرات,
pt,23097,23.32007,56.608361,,highway,residential,"Ad Dariz, Ibri Province, Ad Dhahirah Governorate, Oman",Ad Dariz,
pt,23232,23.164503,56.467967,,highway,residential,"صناعية تنعم, Al Mukhtobiyah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Mukhtobiyah,
pt,23745,23.249843,56.513571,,highway,tertiary,"Al Ghabbi, Ibri Province, Ad Dhahirah Governorate, Oman",Al Ghabbi,
pt,23750,23.237943,56.500412,,highway,secondary,"Al Orobah, Ibri Province, Ad Dhahirah Governorate, Oman",Al Orobah,
pt,23758,23.231303,56.529417,,highway,residential,"Hayy Al Aqabah, Ibri Province, Ad Dhahirah Governorate, Oman",Hayy Al Aqabah,
pt,23869,23.258143,56.484477,,highway,residential,"Rayibah, Ibri Province, Ad Dhahirah Governorate, Oman",Rayibah,
pt,23998,23.198971,56.466708,,highway,residential,"Hellat Al Nahadah, Ibri Province, Ad Dhahirah Governorate, Oman",Hellat Al Nahadah,
pt,24523,23.229119,56.576373,,highway,unclassified,"الجبية, Ibri Province, Ad Dhahirah Governorate, Oman",الجبية,
pt,24609,23.1699,56.721178,Ibri Province,boundary,administrative,"Ibri Province, Ad Dhahirah Governorate, 500, Oman",,
pt,26387,23.220789,56.495624,,amenity,place_of_worship,"Sultan Thuwaini bin Said Road, Hayy Almazra, Ibri Province, Ad Dhahirah Governorate, Oman",Hayy Almazra,Sultan Thuwaini bin Said Road
pt,27008,23.261862,56.555874,,highway,residential,"صناعية الطيب, Al Ghabbi, Ibri Province, Ad Dhahirah Governorate, Oman",Al Ghabbi,
pt,27465,23.211096,56.521098,,highway,tertiary,"Hellat As'sad, Ibri Province, Ad Dhahirah Governorate, Oman",Hellat As'sad,
pt,27927,23.227666,56.42917,,highway,unclassified,"Hay Assa' adah, Ibri Province, Ad Dhahirah Governorate, Oman",Hay Assa' adah,
pt,27944,23.272788,56.378681,Ibri Police Headquarters,amenity,police,"Ibri Police Headquarters, N2, سيح المسرات, Ibri Province, Ad Dhahirah Governorate, Oman",سيح المسرات,N2
pt,27945,23.272788,56.378681,Ibri Police Headquarters,amenity,police,"Ibri Police Headquarters, N2, سيح المسرات, Ibri Province, Ad Dhahirah Governorate, Oman",سيح المسرات,N2
pt,27946,23.275114,56.37711,Ibri Police Headquarters,amenity,police,"Ibri Police Headquarters, N2, سيح المسرات, Ibri Province, Ad Dhahirah Governorate, Oman",سيح المسرات,N2
